"group_id","research_institution","city","country","species","group"
"animaya_spidermonkey","Parque Zoológico Bicentenario Animaya","Merida","Mexico","spider_monkey",
"apenheul_orangutan","Apenheul Primate Park","Apeldoorn","Netherlands","orangutan",
"basel_orangutan","Zoo Basel","Basel","Switzerland","orangutan",
"berlin_chimpanzee","Berlin Zoo","Berlin","Germany","chimpanzee",
"berlin_orangutan","Berlin Zoo","Berlin","Germany","orangutan",
"blackpool_orangutan","Blackpool Zoo","Blackpool","UK","orangutan",
"bos_orangutan","Borneo Orangutan Survival Foundation","Nyaru Menteng","Indonesia","orangutan",
"centenario_spidermonkey","Parque Zoológico del Centenario","Merida","Mexico","spider_monkey",
"chimfunshi_chimpanzee_1","Chimfunshi Wildlife Orphanage","Kashamata","Zambia","chimpanzee",1
"chimfunshi_chimpanzee_2","Chimfunshi Wildlife Orphanage","Kashamata","Zambia","chimpanzee",2
"chimfunshi_chimpanzee_3","Chimfunshi Wildlife Orphanage","Kashamata","Zambia","chimpanzee",3
"chimfunshi_chimpanzee_4","Chimfunshi Wildlife Orphanage","Kashamata","Zambia","chimpanzee",4
"cirmf_chimpanzee","International Centre for Medical Research in Franceville","Franceville","Gabon","chimpanzee",
"cirmf_gorilla","International Centre for Medical Research in Franceville","Franceville","Gabon","gorilla",
"dortmund_orangutan","Dortmund Zoo","Dortmund","Germany","orangutan",
"durrell_orangutan","Durrell Wildlife Trust","Jersey","France","orangutan",
"edinburgh_chimpanzee","Budongo Research Unit","Edinburgh","UK","chimpanzee",
"georgia_capuchinmonkey","Language Research Center of Georgia State University","Atlanta","USA","capuchin_monkey",
"gfpa_browncapuchinmonkey","Giardino Faunistico di Piano dell'Abatino","Rieti","Italy","brown_capuchin_monkey",
"gfpa_tonkeanmacaque","Giardino Faunistico di Piano dell'Abatino","Rieti","Italy","tonkean_macaque",
"istccnr_capuchinmonkey","ISTC-CNR Primate Center","Rome","Italy","capuchin_monkey",
"lola_bonobo","Lola ya Bonobo Sanctuary","Kinshasa","DRC","bonobo",
"magdeburg_chimpanzee","Magdeburg Zoo","Magdeburg","Germany","chimpanzee",
"munster_orangutan","Allwetterzoo Munster","Munster","Germany","orangutan",
"ngamba_chimpanzee","Ngamba Island Chimpanzee Sanctuary","Ngamba Island","Uganda","chimpanzee",
"occq_orangutan","Orangutan Care Center And Quarantine","Pasir Panjang","Indonesia","orangutan",
"paignton_orangutan","Paignton Zoo","Paignton","UK","orangutan",
"socp_orangutan_batu","Sumatran Orangutan Conservation Program (SOCP)","Quarantine Batu Mbelin","Indonesia","orangutan",
"socp_orangutan_danau","Sumatran Orangutan Conservation Program (SOCP)","Danau Alo Release Site","Indonesia","orangutan",
