cognitive_domain,general_domain,study_id,year,participant
physical,features_and_categories,haun2009great,2009,alex
physical,features_and_categories,kano2015social,2015,alex
physical,features_and_categories,munar2015common,2015,alex
physical,features_and_categories,kano2018primate,2018,alex
physical,features_and_categories,haun2009great,2009,alexandra
physical,features_and_categories,haun2009great,2009,annett
physical,features_and_categories,kano2015social,2015,bangolo
physical,features_and_categories,kano2018primate,2018,bangolo
physical,features_and_categories,kano2012face,2012,batak
physical,features_and_categories,muhlenbeck2015gaze,2015,batak
physical,features_and_categories,muhlenbeck2016differences,2016,batak
physical,features_and_categories,muhlenbeck2017cultural,2017,batak
physical,features_and_categories,kano2018primate,2018,batak
physical,features_and_categories,haun2009great,2009,bimbo
physical,features_and_categories,kano2011visual,2011,bimbo
physical,features_and_categories,kano2012face,2012,bimbo
physical,features_and_categories,muhlenbeck2015gaze,2015,bimbo
physical,features_and_categories,muhlenbeck2016differences,2016,bimbo
physical,features_and_categories,muhlenbeck2017cultural,2017,bimbo
physical,features_and_categories,ebel2020object,2020,bimbo
physical,features_and_categories,kano2018primate,2018,brigitta
physical,features_and_categories,parron2008behavioural,2008,corry
physical,features_and_categories,kano2018primate,2018,daza
physical,features_and_categories,haun2009great,2009,dokana
physical,features_and_categories,kano2011visual,2011,dokana
physical,features_and_categories,kano2012face,2012,dokana
physical,features_and_categories,muhlenbeck2015gaze,2015,dokana
physical,features_and_categories,muhlenbeck2016differences,2016,dokana
physical,features_and_categories,muhlenbeck2017cultural,2017,dokana
physical,features_and_categories,kano2018primate,2018,dokana
physical,features_and_categories,ebel2020object,2020,dokana
physical,features_and_categories,parron2008behavioural,2008,dorien
physical,features_and_categories,haun2009great,2009,dorien
physical,features_and_categories,haun2009great,2009,fifi
physical,features_and_categories,kano2015social,2015,fifi
physical,features_and_categories,munar2015common,2015,fifi
physical,features_and_categories,kano2018primate,2018,fifi
physical,features_and_categories,kano2015social,2015,fimi
physical,features_and_categories,kano2018primate,2018,fimi
physical,features_and_categories,parron2008behavioural,2008,fraukje
physical,features_and_categories,haun2009great,2009,fraukje
physical,features_and_categories,kano2015social,2015,fraukje
physical,features_and_categories,kano2018primate,2018,fraukje
physical,features_and_categories,kano2018primate,2018,frederike
physical,features_and_categories,parron2008behavioural,2008,frodo
physical,features_and_categories,kano2018primate,2018,gemena
physical,features_and_categories,haun2009great,2009,gertrudia
physical,features_and_categories,kano2015social,2015,gertrudia
physical,features_and_categories,munar2015common,2015,gertrudia
physical,features_and_categories,kano2018primate,2018,gertrudia
physical,features_and_categories,kano2012face,2012,gorgo
physical,features_and_categories,haun2009great,2009,jahaga
physical,features_and_categories,kano2015social,2015,jahaga
physical,features_and_categories,munar2015common,2015,jahaga
physical,features_and_categories,kano2018primate,2018,jahaga
physical,features_and_categories,kano2015social,2015,jasongo
