cognitive_domain,general_domain,study_id,year,participant
social,competition_and_cooperation,amici2014lack,2014,abeeku
social,competition_and_cooperation,amici2018social,2018,abeeku
social,competition_and_cooperation,russell2008image,2008,alex
social,competition_and_cooperation,greenberg2010chimpanzee,2010,alex
social,competition_and_cooperation,amici2012aversion,2012,alex
social,competition_and_cooperation,amici2014calculated,2014,alex
social,competition_and_cooperation,amici2014lack,2014,alex
social,competition_and_cooperation,amici2014response,2014,alex
social,competition_and_cooperation,liebal2014does,2014,alex
social,competition_and_cooperation,engelmann2017social,2017,alex
social,competition_and_cooperation,grueneisen2017children,2017,alex
social,competition_and_cooperation,bueno2019bargaining,2019,alex
social,competition_and_cooperation,knofe2019chimpanzees,2019,alex
social,competition_and_cooperation,sanchez2019chimpanzees,2019,alex
social,competition_and_cooperation,wolf2019visually,2019,alex
social,competition_and_cooperation,bueno2020effects,2020,alex
social,competition_and_cooperation,duguid2020strategies,2020,alex
social,competition_and_cooperation,hepach2020help,2020,alex
social,competition_and_cooperation,wolf2020human,2020,alex
social,competition_and_cooperation,hepach2021chimpanzees,2021,alex
social,competition_and_cooperation,herrmann2006apes,2006,alexandra
social,competition_and_cooperation,russell2008image,2008,alexandra
social,competition_and_cooperation,amici2012aversion,2012,alexandra
social,competition_and_cooperation,amici2014lack,2014,alexandra
social,competition_and_cooperation,amici2014response,2014,alexandra
social,competition_and_cooperation,liebal2014does,2014,alexandra
social,competition_and_cooperation,amici2014calculated,2014,alexandra
social,competition_and_cooperation,engelmann2017social,2017,alexandra
social,competition_and_cooperation,grueneisen2017children,2017,alexandra
social,competition_and_cooperation,sanchez2019chimpanzees,2019,alexandra
social,competition_and_cooperation,bueno2020effects,2020,alexandra
social,competition_and_cooperation,duguid2020strategies,2020,alexandra
social,competition_and_cooperation,hepach2020help,2020,alexandra
social,competition_and_cooperation,russell2008image,2008,annett
social,competition_and_cooperation,amici2012aversion,2012,annett
social,competition_and_cooperation,amici2014lack,2014,annett
social,competition_and_cooperation,amici2014response,2014,annett
social,competition_and_cooperation,liebal2014does,2014,annett
social,competition_and_cooperation,bueno2020effects,2020,annett
social,competition_and_cooperation,duguid2020strategies,2020,annett
social,competition_and_cooperation,liebal2014does,2014,bali
social,competition_and_cooperation,wolf2020human,2020,bambari
social,competition_and_cooperation,engelmann2017social,2017,bangolo
social,competition_and_cooperation,sanchez2017chimpanzees,2017,bangolo
social,competition_and_cooperation,sanchez2018chimpanzees,2018,bangolo
social,competition_and_cooperation,herrmann2019human,2019,bangolo
social,competition_and_cooperation,sanchez2019chimpanzees,2019,bangolo
social,competition_and_cooperation,wolf2019visually,2019,bangolo
social,competition_and_cooperation,schmelz2020psychological,2020,bangolo
social,competition_and_cooperation,hepach2021chimpanzees,2021,bangolo
social,competition_and_cooperation,volter2015exploitation,2015,batak
social,competition_and_cooperation,liebal2017give,2017,batak
