"study_id","year","keywords","reference","abstract"
"albiach2010great",2010,"object permanence, rotations, spatial memory, allocentric spatial coding","Albiach-Serrano, A., Call, J., & Barth, J. (2010). Great apes track hidden objects after changes in the objects' position and in subject's orientation. American Journal of Primatology, 72(4), 349-359. doi:10.1002/ajp.20790.","Eight chimpanzees (Pan troglodytes), five bonobos (Pan paniscus), five gorillas (Gorilla gorilla), and seven orangutans (Pongo pygmaeus) were presented with two invisible object displacement tasks. In full view of the subject, a food item was hidden under one of three opaque cups resting on a platform and, after an experimental manipulation, the subject was allowed to select one of the cups. In the rotation task, the platform was rotated 1801 while the subject remained stationary. In the translocation task, the platform remained stationary while the subject walked to the opposite side from where she saw the reward being hidden. The final position of the food relative to the subject was equivalent in both tasks. Single displacement trials consisted of only one manipulation, either a rotation or a translocation, whereas double displacement trials consisted of both a rotation and a translocation. We also included no displacement trials in which no displacements took place. No displacement trials were easier than single displacements which, in turn, were easier than double displacements. Unlike earlier studies with children, there was no difference in performance between rotation and translocation displacements. Overall, apes performed above chance in all conditions, but chimpanzees outperformed the other species. This study reinforces the notion that the great apes use an allocentric spatial coding. Am. J. Primatol. 72:349–359, 2010."
"albiach2012apes",2012,"apes, corvids, patterned-strings, support, causality","Albiach-Serrano, A., Bugnyar, T., & Call, J. (2012). Apes (Gorilla gorilla, Pan paniscus, P. troglodytes, Pongo abelii) versus corvids (Corvus corax, C. corone) in a support task: The effect of pattern and functionality. Journal of Comparative Psychology, 126(4), 355-367. doi:10.1037/a0028050.","Apes (Gorilla gorilla, Pan paniscus, P. troglodytes, Pong abelii) and corvids (Corvus corax, C. corone) are among the most proficient and flexible tool users in the animal kingdom. Although it has been proposed that this is the result of convergent evolution, little is known about whether this is limited to behavior or also includes the underlying cognitive mechanisms. We compared several species of apes (bonobos, chimpanzees, gorillas, and orangutans) and corvids (carrion crows and common ravens) using exactly the same paradigm: a support task with elements from the classical patterned-string tasks. Corvids proved able to solve at least an easy pattern, whereas apes outperformed corvids with respect to the complexity of the patterns solved, the relative number of subjects solving each problem, and the speed to reach criterion. We addressed the question of whether subjects based their choices purely on perceptual cues or on a more abstract understanding of the problem. This was done by using a perceptually very similar but causally different condition where instead of paper strips there were strip shapes painted on a platform. Corvids’ performance did not differ between conditions, whereas apes were able to solve the real but not the painted task. This shows that apes were not basing their choices just on spatial or arbitrary perceptual cues. Instead, and unlike corvids, they must have had some causal knowledge of the task."
"albiach2014reversed",2014,"Reversed-reward contingency, Inhibition, Support, Causal knowledge, Chimpanzees","Albiach-Serrano, A., & Call, J. (2014). A reversed-reward contingency task reveals causal knowledge in chimpanzees (Pan troglodytes). Animal Cognition, 17(5), 1167-1176. doi:10.1007/s10071-014-0749-9.","In the reversed-reward contingency task, subjects are required to choose the less preferred of two options in order to obtain the more preferred one. Usually, this task is used to measure inhibitory skills, but it could also be used to measure how strong the subjects’ preferences are. We presented chimpanzees with support tasks where only one of two paper strips could physically bring food into reach. Subjects were rewarded for choosing the non-functional strip. In Experiment 1, subjects failed to pick the non-baited strip. In Experiment 2, subjects failed to pick the broken strip. Chimpanzees performed worse in these tasks than in other similar tasks where instead of paper strips, there were similar shapes painted on a platform. The fact that subjects found the reversed-reward contingency task based on causality more difficult to solve than a perceptually similar task with no causality involved (i.e., arbitrary) suggests that they did not treat real strips as an arbitrary task. Instead, they must have had some causal knowledge of the support problem that made them prefer functional over non-functional strips despite the contrary reward regime."
"albiach2015comparing",2015,"Children, Chimpanzees, Orangutans, Broken cloth problem, Causal knowledge, Associative learning","Albiach-Serrano, A., Sebastián-Enesco, C., Seed, A., Colmenares, F., & Call, J. (2015). Comparing humans and nonhuman great apes in the broken cloth problem: Is their knowledge causal or perceptual? Journal of Experimental Child Psychology, 139, 174-189. doi:10.1016/j.jecp.2015.06.004.","When presented with the broken cloth problem, both human children and nonhuman great apes prefer to pull a continuous cloth over a discontinuous cloth in order to obtain a desired object resting on top. This has been interpreted as evidence that they preferentially attend to the functionally relevant cues of the task (e.g., presence or absence of a gap along the cloth). However, there is controversy regarding whether great apes’ behavior is underpinned by causal knowledge, involving abstract concepts (e.g., support, connection), or by perceptual knowledge, based on percepts (e.g., contact, continuity). We presented chimpanzees, orangutans, and 2-, 3-, and 4-year-old children with two versions of the broken cloth problem. The Real condition, made with paper strips, could be solved based on either perceptual cues or causal knowledge. The Painted condition, which looked very similar, could be solved only by attending to perceptual cues. All groups mastered the Real condition, in line with previous results. Older children (3-and 4-year-olds) performed significantly better in this condition than all other groups, but the performance of apes and children did not differ sharply, with 2-year-olds and apes obtaining similar results. In contrast, only 4-year-olds solved the Painted condition."
"allritz2013food",2013,"Food washing, Placer mining, Tradition, Great apes","Allritz, M., Tennie, C., & Call, J. (2013). Food washing and placer mining in captive great apes. Primates, 54(4), 361-370. doi:10.1007/s10329-013-0355-5.","Sweet potato washing and wheat placer mining in Japanese macaques (Macaca fuscata) are among the most well known examples of local traditions in nonhuman animals. The functions of these behaviors and the mechanisms of acquisition and spread of these behaviors have been debated frequently. Prompted by animal caretaker reports that great apes [chimpanzees (Pan troglodytes), bonobos (Pan paniscus), gorillas (Gorilla gorilla), and orangutans (Pongo abelii)] at Leipzig Zoo occasionally wash their food, we conducted a study of food washing behaviors that consisted of two parts. In the first part we assessed the current distribution of the behavior on the basis of caretaker reports. In the second (experimental) part, we provided subjects individually with a water basin and two types of food (apples and cereal) that was either clean or covered/mixed with sand. We found that subjects of all species (except gorillas) placed apples in the water before consumption, and that they did so more often when the apples were dirty than when they were clean. Several chimpanzees and orangutans also engaged in behaviors resembling wheat placer mining."
"allritz2021chimpanzees",2021,"Chimpanzees, Feelings of uncertainty, Procedural metacognition, Transitive inference, Epistemic emotions","Allritz, M., McEwen, E. S., & Call, J. (2021). Chimpanzees (Pan troglodytes) show subtle signs of uncertainty when choices are more difficult. Cognition, 214. doi:10.1016/j.cognition.2021.104766.","Humans can tell when they find a task difficult. Subtle uncertainty behaviors like changes in motor speed and muscle tension precede and affect these experiences. Theories of animal metacognition likewise stress the importance of endogenous signals of uncertainty as cues that motivate metacognitive behaviors. However, while researchers have investigated second-order behaviors like information seeking and declining difficult trials in nonhuman animals, they have devoted little attention to the behaviors that express the cognitive conflict that gives rise to such behaviors in the first place. Here we explored whether three chimpanzees would, like humans, show hand wavering more when faced with more difficult choices in a touch screen transitive inference task. While accuracy was very high across all conditions, all chimpanzees wavered more frequently in trials that were objectively more difficult, demonstrating a signature behavior which accompanies experiences of difficulty in humans. This lends plausibility to the idea that feelings of uncertainty, like other emotions, can be studied in nonhuman animals. We propose to routinely assess uncertainty behaviors to inform models of procedural metacognition in nonhumaSn animals."
"amici2008fission",2008,,"Amici, F., Aureli, F., & Call, J. (2008). Fission-fusion dynamics, behavioral flexibility, and inhibitory control in primates. Current Biology, 18(18), 1415-1419. doi:10.1016/j.cub.2008.08.020.","The Machiavellian Intelligence or Social Brain Hypothesis explains the evolution of increased brain size as mainly driven by living in complex organized social systems 1, 2, 3, 4 in which individuals represent 'moving targets' who can adopt multiple strategies to respond to one another [5]. Frequently splitting and merging in subgroups of variable composition (fission-fusion or FF dynamics) has been proposed as one aspect of social complexity (2, 6, 7, 8, 9; compare with [10]) that may be associated with an enhancement of cognitive skills like inhibition [11], which allows the suppression of prepotent but ineffective responses in a changing social environment [7]. We compared the performance of primates experiencing high levels of FF dynamics (chimpanzees, bonobos, orangutans, and spider monkeys) to that of species living in more cohesive groups (gorillas, capuchin monkeys, and long-tailed macaques) 12, 13 on five inhibition tasks. Testing species differing in diet, phylogenetic relatedness, and levels of FF dynamics allowed us to contrast ecological, phylogenetic, and socioecological explanations for interspecific differences. Spider monkeys performed at levels comparable to chimpanzees, bonobos, and orangutans, and better than gorillas. A two-cluster analysis grouped all species with higher levels of FF dynamics together. These findings confirmed that enhanced inhibitory skills are positively associated with FF dynamics, more than to phylogenetic relations or feeding ecology."
"amici2010monkeys",2010,"comparative cognition, support, memory, transposition, fission–fusion dynamics","Amici, F., Aureli, F., & Call, J. (2010). Monkeys and apes: Are their cognitive skills really so different? American Journal of Physical Anthropology, 143(2), 188-197. doi:10.1002/ajpa.21305.","Differences in cognitive skills across taxa, and between monkeys and apes in particular, have been explained by different hypotheses, although these often are not supported by systematic interspecific comparisons. Here, we directly compared the cognitive performance of the four great apes and three monkey species (spider monkeys, capuchin monkeys, and long-tailed macaques), differing in their phylogenetic-relatedness and socioecology. We tested subjects on their ability to remember object locations (memory task), track object displacements (transposition task), and obtain out-of-reach rewards (support task). Our results showed no support for an overall clear-cut distinction in cognitive skills between monkeys and apes as species performance varied substantially across tasks. Although we found differences in performance at tracking object displacements between monkeys and apes, interspecific differences in the other two tasks were better explained in terms of differential socioecology, especially differential levels of fission–fusion dynamics. A cluster analysis using mean scores of each condition of the three tasks for each species suggested that the only dichotomy might be between members of the genus Pan and the rest of the tested species. These findings evidence the importance of using multiple tasks across multiple species in a comparative perspective to test different explanations for the enhancement of specific cognitive skills."
"amici2012aversion",2012,"social tolerance, comparative cognition, great apes, spider monkeys, capuchin monkeys, longtailed macaques.","Amici, F., Call, J., & Aureli, F. (2012). Aversion to violation of expectations of food distribution: the role of social tolerance and relative dominance in seven primate species. Behaviour, 149(3-4), 345-368. doi:10.1163/156853912X637833.","Studies on how animals behave when two partners receive different amounts of food have produced variable results, with individuals responding negatively to specific food distributions in some cases (e.g., when food is distributed unequally between partners), but not in others. In this study, we used a simple experimental approach to (i) assess the strictness of dominance relationships based on the degree of social tolerance and (ii) compare the behavioural responses of seven primate species (chimpanzees, Pan troglodytes; bonobos, Pan paniscus; gorillas, Gorilla gorilla; orangutans, Pongo pygmaeus; brown capuchin monkeys, Cebus apella; spider monkeys, Ateles geoffroyi; long-tailed macaques, Macaca fascicularis), when two partners received different amounts of food and no effort was required.We predicted that negative responses (i.e., refusal to participate in the task or avoidance of proximity to the food source) would be elicited by food distributions that violate the individual expectations based on tolerance levels and subject’s dominance rank relative to the partner. In the ‘tolerance’ task, we found that species with less strict dominance relationships were chimpanzees and bonobos, followed by orangutans, spider monkeys, gorillas, brown capuchin monkeys and long-tailed macaques. In the ‘food distribution’ task, capuchin monkeys and especially macaques showed their aversion by refusing to participate in most conditions, including the ones with equal food distribution. When dominants received more food than the partner, subjects of all species maintained a comparable amount of proximity to the food source, possibly reflecting the general acceptance of such a food distribution across species. When dominants received less than or as much as their partners, dominant capuchin monkeys maintained less proximity than other species, possibly because having different expectations of food distributions (i.e., more/all food to the dominant). Our study highlights the importance of the species’ degree of social tolerance and the relative dominance rank between partners in the study of violation of expectations of different food distributions"
"amici2012modular",2012,,"Amici, F., Barney, B., Johnson, V. E., Call, J., & Aureli, F. (2012). A modular mind? A test using individual data from seven primate species. PLoS One, 7(12): e51918. doi:10.1371/journal.pone.0051918.","It has long been debated whether the mind consists of specialized and independently evolving modules, or whether and to what extent a general factor accounts for the variance in performance across different cognitive domains. In this study, we used a hierarchical Bayesian model to re-analyse individual level data collected on seven primate species (chimpanzees, bonobos, orangutans, gorillas, spider monkeys, brown capuchin monkeys and long-tailed macaques) across 17 tasks within four domains (inhibition, memory, transposition and support). Our modelling approach evidenced the existence of both a domain-specific factor and a species factor, each accounting for the same amount (17%) of the observed variance. In contrast, inter-individual differences played a minimal role. These results support the hypothesis that the mind of primates is (at least partially) modular, with domain-specific cognitive skills undergoing different evolutionary pressures in different species in response to specific ecological and social demands."
