"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"block_of_trials", "set of trials occurring on the same day / more than one block can occur on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","whether the tray with the food and the containers was not displaced/was slid/ rotated/ or first slid and then rotated or /first rotated and then slid."
"initial"," location of the food in the left middle or right container (from the participant's perspective) at the beginning of the trial."
"final"," location of the food in the left middle or right container (from the participant's perspective) at the end of the trial."
"choice"," container chosen by the participant (left middle or right container from the participant's perspective)"
"correct"," whether the chosen container held the food or not."
