"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan/ raven_(corvus_corax) "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"family"," hominidae /corvidae  "
"condition"," whether the food was presented on paper support or on painted stripes."
"order","order in which study-specific conditions were presented- participant received the condition in the first or second place."
"pattern"," whether the paper strips or the painted stripes formed a cross or a pseudocross shape."
"bait"," location of the food on the left or right distal end of the paper strips or painted stripes (from the participant perspective)."
"choice"," selection of the left or right proximal end of the paper strips or painted stripes (from the participant perspective)."
"correct"," whether or not the participant choice brought the food."
