"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_original","age provided by author in months in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"contingency"," whether the participant was rewarded directly  with the content of the chosen paper strip or painted stripe or reversely  with the content of the non-chosen paper strip or painted stripe."
"condition"," whether the food was presented on paper support or on painted stripes."
"order"," order in which study-specific conditions were presented- whether the focal participant received the condition in the first or second place."
"continuous_strip"," selection of the left or right paper strip or painted stripe (from the focal participant's perspective)."
"choice"," whether or not the focal participant's choice brought the food."
"correct"," left or right location of the continuous strip (from the focal participant's perspective)."
