study_id,participant,age_original,age_in_years,sex,species,session,trial,condition,order,continuous_strip,choice,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,1.0,paper,first_condition,left,right,incorrect
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,2.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,3.0,paper,first_condition,left,right,incorrect
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,4.0,paper,first_condition,left,left,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,5.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,6.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,7.0,paper,first_condition,left,right,incorrect
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,8.0,paper,first_condition,left,left,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,9.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,10.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,11.0,paper,first_condition,left,right,incorrect
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,1.0,12.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,1.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,2.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,3.0,paper,first_condition,left,left,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,4.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,5.0,paper,first_condition,left,left,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,6.0,paper,first_condition,left,left,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,7.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,8.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,9.0,paper,first_condition,left,left,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,10.0,paper,first_condition,right,right,correct
albiach2015comparing,alex,96.0,8.0,m,chimpanzee,2.0,11.0,paper,first_condition,left,left,correct
