"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -chimpanzee/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition"," whether the food was presented on paper support or on painted stripes."
"order", "order in which study-specific conditions were presented"
"continuous_strip"," location of the continuous strip (from the participant's perspective) - left / right"
"choice"," selection of the left or right paper strip or painted stripe (from the participant's perspective)."
"correct"," whether or not the participant's choice brought the food - correct / incorrect"
