study_id,year,month,day,participant,age_original,age_in_years,age_group,sex,species,species_subgroup,trial,condition,food_order,state_order,rank,food_washing_reports_category,food_washing_mother,random_group_number,experimental_group,chocopops_eaten,chocopops_in_water,chocopops_in_water_then_eaten,apples_obtained,apples_eaten,apples_cleaned,apples_in_water,whole_apples_in_water,apples_partially_washed,apples_washed_then_eaten,whole_apples_washed_then_eaten,retrieve-release_occured,dunking_occured,always_washed_before_eating,inspected_between_washing_and_eating,not_eaten_after_washing,whole_apples_washed_but_not_eaten,chocopops_washed_but_not_eaten
allritz2013food,2010,10,3,alex,8.0,9.0,adolescent,m,chimpanzee,b,1.0,cpops_dirty,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,yes,no,no,,,,,,,,,,,,,,,0.0
allritz2013food,2010,10,4,alex,8.0,9.0,adolescent,m,chimpanzee,b,2.0,cpops_dirty,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,yes,no,no,,,,,,,,,,,,,,,0.0
allritz2013food,2010,10,5,alex,8.0,9.0,adolescent,m,chimpanzee,b,3.0,cpops_dirty,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,yes,no,no,,,,,,,,,,,,,,,0.0
allritz2013food,2010,10,10,alex,8.0,9.0,adolescent,m,chimpanzee,b,4.0,cpops_dirty,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,yes,no,no,,,,,,,,,,,,,,,0.0
allritz2013food,2010,10,16,alex,8.0,9.0,adolescent,m,chimpanzee,b,1.0,cpops_clean,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,yes,no,no,,,,,,,,,,,,,,,0.0
allritz2013food,2010,10,17,alex,8.0,9.0,adolescent,m,chimpanzee,b,2.0,cpops_clean,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,yes,no,no,,,,,,,,,,,,,,,0.0
allritz2013food,2010,10,22,alex,8.0,9.0,adolescent,m,chimpanzee,b,3.0,cpops_clean,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,yes,no,no,,,,,,,,,,,,,,,0.0
allritz2013food,2010,10,28,alex,8.0,9.0,adolescent,m,chimpanzee,b,4.0,cpops_clean,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,yes,no,no,,,,,,,,,,,,,,,0.0
allritz2013food,2010,12,11,alex,8.0,9.0,adolescent,m,chimpanzee,b,1.0,apples_dirty,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,,,,3.0,3.0,yes,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,
allritz2013food,2010,12,12,alex,8.0,9.0,adolescent,m,chimpanzee,b,2.0,apples_dirty,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,,,,3.0,3.0,no,3.0,3.0,0.0,3.0,3.0,yes,yes,yes,,,0.0,
allritz2013food,2010,12,13,alex,8.0,9.0,adolescent,m,chimpanzee,b,3.0,apples_dirty,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,,,,3.0,3.0,no,3.0,3.0,0.0,3.0,3.0,yes,yes,yes,,,0.0,
allritz2013food,2010,12,14,alex,8.0,9.0,adolescent,m,chimpanzee,b,4.0,apples_dirty,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,,,,3.0,3.0,no,3.0,3.0,0.0,3.0,3.0,yes,yes,yes,,,0.0,
allritz2013food,2010,12,17,alex,8.0,9.0,adolescent,m,chimpanzee,b,1.0,apples_clean,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,,,,3.0,3.0,no,1.0,1.0,0.0,1.0,1.0,no,yes,no,,,0.0,
allritz2013food,2010,12,18,alex,8.0,9.0,adolescent,m,chimpanzee,b,2.0,apples_clean,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,,,,3.0,3.0,no,2.0,2.0,0.0,2.0,2.0,yes,yes,no,,,0.0,
allritz2013food,2010,12,19,alex,8.0,9.0,adolescent,m,chimpanzee,b,3.0,apples_clean,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,,,,3.0,3.0,no,1.0,1.0,0.0,1.0,1.0,yes,no,no,,,0.0,
allritz2013food,2010,12,20,alex,8.0,9.0,adolescent,m,chimpanzee,b,4.0,apples_clean,chocopops_first,dirty_first,low,1.0,0.0,3.0,wd–wc–ad-ac,,,,3.0,3.0,no,2.0,2.0,0.0,2.0,2.0,no,yes,no,,,0.0,
allritz2013food,2010,7,19,alexandra,9.0,10.0,adolescent,f,chimpanzee,b,1.0,apples_dirty,apples_first,dirty_first,medium,2.0,0.0,4.0,ad–ac–wd–wc,,,,3.0,3.0,yes,3.0,3.0,0.0,3.0,3.0,yes,yes,yes,,no,0.0,
allritz2013food,2010,7,23,alexandra,9.0,10.0,adolescent,f,chimpanzee,b,2.0,apples_dirty,apples_first,dirty_first,medium,2.0,0.0,4.0,ad–ac–wd–wc,,,,3.0,3.0,no,3.0,3.0,0.0,3.0,3.0,yes,yes,yes,,no,0.0,
allritz2013food,2010,7,29,alexandra,9.0,10.0,adolescent,f,chimpanzee,b,3.0,apples_dirty,apples_first,dirty_first,medium,2.0,0.0,4.0,ad–ac–wd–wc,,,,3.0,3.0,no,3.0,3.0,0.0,3.0,3.0,yes,yes,yes,,no,0.0,
allritz2013food,2010,7,30,alexandra,9.0,10.0,adolescent,f,chimpanzee,b,4.0,apples_dirty,apples_first,dirty_first,medium,2.0,0.0,4.0,ad–ac–wd–wc,,,,3.0,3.0,no,3.0,3.0,0.0,3.0,3.0,yes,yes,yes,,no,0.0,
allritz2013food,2010,7,31,alexandra,9.0,10.0,adolescent,f,chimpanzee,b,1.0,apples_clean,apples_first,dirty_first,medium,2.0,0.0,4.0,ad–ac–wd–wc,,,,3.0,3.0,no,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,
allritz2013food,2010,8,6,alexandra,9.0,10.0,adolescent,f,chimpanzee,b,2.0,apples_clean,apples_first,dirty_first,medium,2.0,0.0,4.0,ad–ac–wd–wc,,,,3.0,3.0,no,1.0,1.0,0.0,1.0,1.0,yes,no,no,,no,0.0,
