study_id,experiment_name,year,month,day,participant,age_in_years,sex,species,session,delay_in_seconds,larger_amount_chosen_out_of_10_free_choice_trials,consequences,indifference_point
amici2008fission,delay_of_gratification_task,2007,12,17,bebe,28,f,gorilla,1.0,0,6,,
amici2008fission,delay_of_gratification_task,2007,12,19,bebe,28,f,gorilla,2.0,0,7,,
amici2008fission,delay_of_gratification_task,2007,12,19,bebe,28,f,gorilla,3.0,0,9,,
amici2008fission,delay_of_gratification_task,2007,12,19,bebe,28,f,gorilla,4.0,0,9,>10=10,
amici2008fission,delay_of_gratification_task,2007,12,19,bebe,28,f,gorilla,5.0,10,8,>10=20,
amici2008fission,delay_of_gratification_task,2007,12,19,bebe,28,f,gorilla,6.0,20,5,,
amici2008fission,delay_of_gratification_task,2007,12,20,bebe,28,f,gorilla,7.0,20,6,>5=25,
amici2008fission,delay_of_gratification_task,2007,12,20,bebe,28,f,gorilla,8.0,25,5,,
amici2008fission,delay_of_gratification_task,2007,12,20,bebe,28,f,gorilla,9.0,25,6,>5=30,
amici2008fission,delay_of_gratification_task,2007,12,21,bebe,28,f,gorilla,10.0,30,6,>5=35,
amici2008fission,delay_of_gratification_task,2007,12,21,bebe,28,f,gorilla,11.0,35,3,<5=30,
amici2008fission,delay_of_gratification_task,2007,12,21,bebe,28,f,gorilla,12.0,30,4,<5_=25,
amici2008fission,delay_of_gratification_task,2007,12,21,bebe,28,f,gorilla,13.0,25,5,,
amici2008fission,delay_of_gratification_task,2007,12,31,bebe,28,f,gorilla,14.0,25,4,<5=20,
amici2008fission,delay_of_gratification_task,2007,12,31,bebe,28,f,gorilla,15.0,20,5,,
amici2008fission,delay_of_gratification_task,2007,12,31,bebe,28,f,gorilla,16.0,20,7,>5=25,
amici2008fission,delay_of_gratification_task,2007,12,31,bebe,28,f,gorilla,17.0,25,7,>5=30,
amici2008fission,delay_of_gratification_task,2008,1,2,bebe,28,f,gorilla,18.0,30,5,,
amici2008fission,delay_of_gratification_task,2008,1,2,bebe,28,f,gorilla,19.0,30,2,<10=20,25_sec
amici2008fission,delay_of_gratification_task,2008,1,8,gorgo,26,m,gorilla,1.0,0,5,,
amici2008fission,delay_of_gratification_task,2008,1,8,gorgo,26,m,gorilla,2.0,0,5,,
amici2008fission,delay_of_gratification_task,2008,1,8,gorgo,26,m,gorilla,3.0,0,9,,
amici2008fission,delay_of_gratification_task,2008,1,8,gorgo,26,m,gorilla,4.0,0,9,>10=10,
amici2008fission,delay_of_gratification_task,2008,1,8,gorgo,26,m,gorilla,5.0,10,7,>5=15,
amici2008fission,delay_of_gratification_task,2008,1,8,gorgo,26,m,gorilla,6.0,15,5,,
amici2008fission,delay_of_gratification_task,2008,1,8,gorgo,26,m,gorilla,7.0,15,7,>5=20,
amici2008fission,delay_of_gratification_task,2008,1,8,gorgo,26,m,gorilla,8.0,20,6,>5=25:_1st_bia:_6_forced-choice_trials,
amici2008fission,delay_of_gratification_task,2008,1,8,gorgo,26,m,gorilla,9.0,25,6,>5=30,
amici2008fission,delay_of_gratification_task,2008,1,9,gorgo,26,m,gorilla,10.0,30,5,,
amici2008fission,delay_of_gratification_task,2008,1,9,gorgo,26,m,gorilla,11.0,30,5,,
amici2008fission,delay_of_gratification_task,2008,1,9,gorgo,26,m,gorilla,12.0,30,5,2nd_bia:_6_forced-choice_trials,
amici2008fission,delay_of_gratification_task,2008,1,9,gorgo,26,m,gorilla,13.0,30,5,,
amici2008fission,delay_of_gratification_task,2008,1,9,gorgo,26,m,gorilla,14.0,30,5,,
amici2008fission,delay_of_gratification_task,2008,1,9,gorgo,26,m,gorilla,15.0,30,5,,
