"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"delay_in_seconds","delay time in seconds used in each session "
"larger_amount_chosen_out_of_10_free_choice_trials","the number of trials within the session in which participants chose the larger side "
"consequences","the delay used in each session that was adjusted based on performance in the previous sessions. This delay could be increased >  or decreased <. For example >5=25 meant that the current delay of 20seconds was increased by 5seconds and the new delay for the next sessions became 25seconds. No information in this column means that the delay remained the same as in the previous session"
"indifference_point","the mean delay of the last five sessions "
