study_id,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,condition,baited_cup,chosen_cup_if_choice_differs_from_position_of_reward,correct
amici2010monkeys,memory_delayed_response_task,2008,1,3,bebe,29,f,gorilla,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bebe,29,f,gorilla,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bebe,29,f,gorilla,1,3,no_delay,left, ,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bebe,29,f,gorilla,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bebe,29,f,gorilla,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bebe,29,f,gorilla,1,6,30sec_delay,left,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,3,bebe,29,f,gorilla,2,1,30min_delay,right,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,4,bebe,29,f,gorilla,3,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,9,bebe,29,f,gorilla,4,1,30min_delay,left,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,3,bimbo,27,m,orangutan,1,1,no_delay,right, ,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bimbo,27,m,orangutan,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bimbo,27,m,orangutan,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bimbo,27,m,orangutan,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bimbo,27,m,orangutan,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,bimbo,27,m,orangutan,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,4,bimbo,27,m,orangutan,2,1,30min_delay,middle,right,0
amici2010monkeys,memory_delayed_response_task,2008,1,5,bimbo,27,m,orangutan,3,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,7,bimbo,27,m,orangutan,4,1,30min_delay,right,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,16,corry,31,f,chimpanzee,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,corry,31,f,chimpanzee,1,2,no_delay,middle, ,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,corry,31,f,chimpanzee,1,3,no_delay,left,,1
