study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,condition,drinking_time_in_seconds,codrinking_time_in_seconds,session_duration_in_seconds
amici2012aversion,1,social_tolerance_task,2004,12,5,bebe,25,f,focal_participant,n’diki,26,f,partner,gorilla,bebe_n’diki,close,0.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,bebe,25,f,focal_participant,gorgo,23,m,partner,gorilla,bebe_gorgo,close,0.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,bebe,25,f,focal_participant,ruby_b'windi,6,f,partner,gorilla,bebe_ruby_b'windi,close,19.0,14.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,gorgo,23,m,focal_participant,bebe,25,f,partner,gorilla,gorgo_bebe,close,0.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,gorgo,23,m,focal_participant,n’diki,26,f,partner,gorilla,gorgo_n’diki,close,0.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,gorgo,23,m,focal_participant,ruby_b'windi,6,f,partner,gorilla,gorgo_ruby_b'windi,close,0.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,n’diki,26,f,focal_participant,gorgo,23,m,partner,gorilla,n’diki_gorgo,close,34.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,n’diki,26,f,focal_participant,bebe,25,f,partner,gorilla,n’diki_bebe,close,14.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,n’diki,26,f,focal_participant,ruby_b'windi,6,f,partner,gorilla,n’diki_ruby_b'windi,close,27.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,ruby_b'windi,6,f,focal_participant,bebe,25,f,partner,gorilla,ruby_b'windi_bebe,close,87.0,14.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,ruby_b'windi,6,f,focal_participant,gorgo,23,m,partner,gorilla,ruby_b'windi_gorgo,close,68.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,5,ruby_b'windi,6,f,focal_participant,n’diki,26,f,partner,gorilla,ruby_b'windi_n’diki,close,2.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,bebe,25,f,focal_participant,n’diki,26,f,partner,gorilla,bebe_n’diki,far,0.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,bebe,25,f,focal_participant,gorgo,23,m,partner,gorilla,bebe_gorgo,far,77.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,bebe,25,f,focal_participant,ruby_b'windi,6,f,partner,gorilla,bebe_ruby_b'windi,far,36.0,22.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,gorgo,23,m,focal_participant,bebe,25,f,partner,gorilla,gorgo_bebe,far,0.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,gorgo,23,m,focal_participant,n’diki,26,f,partner,gorilla,gorgo_n’diki,far,0.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,gorgo,23,m,focal_participant,ruby_b'windi,6,f,partner,gorilla,gorgo_ruby_b'windi,far,0.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,n’diki,26,f,focal_participant,gorgo,23,m,partner,gorilla,n’diki_gorgo,far,66.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,n’diki,26,f,focal_participant,bebe,25,f,partner,gorilla,n’diki_bebe,far,71.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,n’diki,26,f,focal_participant,ruby_b'windi,6,f,partner,gorilla,n’diki_ruby_b'windi,far,59.0,34.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,ruby_b'windi,6,f,focal_participant,bebe,25,f,partner,gorilla,ruby_b'windi_bebe,far,82.0,22.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,ruby_b'windi,6,f,focal_participant,gorgo,23,m,partner,gorilla,ruby_b'windi_gorgo,far,75.0,0.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,6,ruby_b'windi,6,f,focal_participant,n’diki,26,f,partner,gorilla,ruby_b'windi_n’diki,far,67.0,34.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,19,joey,22,m,focal_participant,kuno,8,m,partner,bonobo,joey_kuno,close,25.0,8.0,26.0
amici2012aversion,1,social_tolerance_task,2004,12,19,joey,22,m,focal_participant,limbuko,9,m,partner,bonobo,joey_limbuko,close,30.0,29.0,34.0
amici2012aversion,1,social_tolerance_task,2004,12,19,joey,22,m,focal_participant,ulindi,11,f,partner,bonobo,joey_ulindi,close,32.0,2.0,120.0
amici2012aversion,1,social_tolerance_task,2004,12,19,joey,22,m,focal_participant,yasa,7,f,partner,bonobo,joey_yasa,close,21.0,16.0,25.0
amici2012aversion,1,social_tolerance_task,2004,12,19,kuno,8,m,focal_participant,joey,22,m,partner,bonobo,kuno_joey,close,8.0,8.0,26.0
amici2012aversion,1,social_tolerance_task,2004,12,19,kuno,8,m,focal_participant,limbuko,9,m,partner,bonobo,kuno_limbuko,close,53.0,45.0,70.0
amici2012aversion,1,social_tolerance_task,2004,12,19,kuno,8,m,focal_participant,ulindi,11,f,partner,bonobo,kuno_ulindi,close,28.0,3.0,45.0
amici2012aversion,1,social_tolerance_task,2004,12,19,kuno,8,m,focal_participant,yasa,7,f,partner,bonobo,kuno_yasa,close,51.0,45.0,68.0
amici2012aversion,1,social_tolerance_task,2004,12,19,limbuko,9,m,focal_participant,joey,22,m,partner,bonobo,limbuko_joey,close,31.0,29.0,34.0
