"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – main participant / partner"
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 –  main participant /partner  "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"dyad","name of the two participants that compose the dyad "
"condition","the distance participants (dyad) were arranged from each other – close/far "
"drinking_time_in_seconds","the time the participant spent drinking alone"
"codrinking_time_in_seconds","codrinking time of the dyad"
"session_duration_in_seconds","the duration for each session"
