study_id,experiment_name,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,trial,condition,choice_prosocial1_selfish0,token_left,token_right,tokens_given,token_chosen_in_training_and_token_preference
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,1.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,2.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,3.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,4.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,5.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,6.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,7.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,8.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,9.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,10.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,3.0,5.0,frodo,19.0,m,focal_participant,tai,10,f,partner,chimpanzee,frodo_tai,11.0,control,1.0,,,15_grey+15_red,
