study_id,experiment_name,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,partner_position,session,trial,condition,position_larger_food,choice_made,largerchoice_yes1_no0
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,1,control_condition,left,left,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,2,control_condition,right,right,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,3,control_condition,right,right,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,4,control_condition,left,left,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,5,control_condition,left,left,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,6,control_condition,right,right,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,7,control_condition,right,right,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,8,control_condition,left,left,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,9,control_condition,left,left,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,10,control_condition,right,right,1
amici2018social,social_inhibition_task_socinh2,2013,11,12,abeeku,14,m,focal_participant,kumili,9.0,f,partner,gorilla,abeeku_kumili,left,4,11,control_condition,right,right,1
