"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"date","original date format if provided by authors "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant  "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – partner  "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"dyad","name of the two participants that compose the dyad "
"partner_position","the position of the partner in the room – left/right "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","experimental condition – the partner was present/ control condition – the partner was in another room "
"position_larger_food","the position of larger food – left/right"
"choice_made","the position of food the focal_participant chose – left/right "
"largerchoice_yes1_no0","if the focal_participant choose larger food – 1 = yes/0 = no "
