study_id,year,month,day,participant,age_in_years,sex,species,session,condition,type_of_nut,begin_on_tape,took_at_least_one_nut_yes_or_no,hammering_on_nut_yes_or_no,cracked_nuts_by_hammering_yes_or_no,number_of_nuts_cracked_open_by_hammering,cracked_nut_with_mouth_yes_or_no,number_of_nuts_cracked_open_with_mouth,placed_nut_on_anvil,put_nut_in_hole_on_anvil,anvil_involved_in_cracking_yes_or_no,other_crack_methods,comments
bandini2021individually,2007,4,28,dokana,18,f,orangutan,1.0,baseline,macadamia,0:20:00,y,n,n,0,y,5.0,y,n,n,/,bite-hit_with_hand
bandini2021individually,2007,4,30,dokana,18,f,orangutan,2.0,baseline,macadamia,0:25:00,y,n,n,0,y,3.0,y,n,n,/,bite-hit_with_hand
bandini2021individually,2007,5,2,dokana,18,f,orangutan,3.0,baseline,macadamia,0:00:00,y,n,n,0,y,4.0,y,y_(3),n,/,bite-hit_with_hand
bandini2021individually,2007,5,6,dokana,18,f,orangutan,4.0,baseline,macadamia,0:30:00,y,n,n,0,y,5.0,n,n,n,/,bite_(in_5_min)
bandini2021individually,2007,6,20,dokana,18,f,orangutan,5.0,baseline,macadamia,0:00:00,y,n,n,0,y,5.0,n,n,n,/,bite
bandini2021individually,2007,4,28,dunja,34,f,orangutan,1.0,baseline,macadamia,0:00:00,y,n,n,0,y,4.0,y,n,n,/,bite
bandini2021individually,2007,4,30,dunja,34,f,orangutan,2.0,baseline,macadamia,0:00:00,y,n,n,0,y,4.0,n,n,n,/,bite
bandini2021individually,2007,5,4,dunja,34,f,orangutan,3.0,baseline,macadamia,0:00:00,y,n,n,0,y,4.0,n,n,n,/,bite
bandini2021individually,2007,6,28,dunja,34,f,orangutan,4.0,baseline,macadamia,0:12:00,y,n,n,0,y,5.0,n,n,n,/,bite
bandini2021individually,2007,12,14,dunja,34,f,orangutan,5.0,baseline,macadamia,0:00:00,y,n,n,0,y,5.0,n,n,n,/,bite
bandini2021individually,2007,4,28,padana,9,f,orangutan,1.0,baseline,macadamia,0:25:00,y,n,n,0,n,0.0,y,y_(3),n,/,bite-step-hit_with_hand
bandini2021individually,2007,4,29,padana,9,f,orangutan,2.0,baseline,macadamia,0:25:00,y,n,n,0,n,0.0,y,n,y,anvil_on_floor_(2_nuts),bite-hit_with_hand-step-clapping-anvil_on_floor
bandini2021individually,2007,5,1,padana,9,f,orangutan,3.0,baseline,macadamia,0:00:00,y,n,n,0,n,0.0,y,n,y,anvil_on_floor_(4_nuts),bite-hit_with_hand-anvil_on_floor-rolling_anvil
bandini2021individually,2007,5,2,padana,9,f,orangutan,4.0,baseline,macadamia,0:25:00,y,n,n,0,y,1.0,n,n,n,/,bite-anvil_on_floor
bandini2021individually,2007,5,3,padana,9,f,orangutan,5.0,baseline,macadamia,0:00:00,y,n,n,0,n,0.0,n,n,y,anvil_on_floor_(5_nuts),bite-anvil_on_floor_(in_10_min)
