"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical/ each session contained one trial"
"condition","baseline = participants only acquire the nut-cracking behavior individually/ anvil_locked = participants were encouraged to explore options other than using the anvil as hammer to crack open the nuts / social = participants could potentially learn the nut-cracking behavior through social learning after observing a conspecific model"
"type_of_nut","type of nut used in the experiment"
"begin_on_tape","time when the participant session starts in the video tape"
"took_at_least_one_nut_yes_or_no","whether the participant took one nut - y =yes/ n = no "
"hammering_on_nut_yes_or_no","whether the participant hammered on the nut - y = yes/n = no"
"cracked_nuts_by_hammering_yes_or_no","whether the nut got cracked by hammering - y = yes/n = no"
"number_of_nuts_cracked_open_by_hammering","number of nuts cracked by hammering. Note: entry of n for dokana is unknown"
"cracked_nut_with_mouth_yes_or_no","whether the participant cracked the nut with their mouth - y = yes/n = no"
"number_of_nuts_cracked_open_with_mouth","number of nuts cracked with mouth  "
"placed_nut_on_anvil","whether the participant placed the nut on anvil "
"put_nut_in_hole_on_anvil","whether the participant placed the nut in the hole on anvil - y = yes / n = no"
"anvil_involved_in_cracking_yes_or_no","whether an anvil was involved in cracking "
"other_crack_methods","whether the participant used another behavior for cracking "
"comments","author provided notes - order of participant behavior for nut cracking"
