"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"weight","participant weight "
"delay_task","percentage of correct trials in the delayed task"
"inhibition_task","percentage of correct trials in the inhibition task"
"a_not_b_task","percentage of correct trials in the A not B task"
"rotation_task","percentage of correct trials in the rotations task "
"transposition_task","percentage of correct trials in the transposition task "
"object_permanence_task","percentage of correct trials in the object permanence task "
"total_tasks","averages of all the results from all tasks "
"drop_out","participant drop out /not included in analyses"
