"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session","set of trials - mostly occurring on the same day - usually numerical "
"test_trial","separate count for test trials -  that is trials in which one cup was empty"
"trial","presentation of the experiment to the participants - usually numerical "
"condition","in testwarmup the experimenter refilled the empty plate -  in test he did not"
"constellation","whether the same or different types of food were on the two plates"
"food_left","food on the left plate"
"food_right","food on the right plate"
"point","whether the participant pointed"
"side_indicated","to which side the participant  pointed"
"food_indicated","which type of food the participant pointed at"
"point_to_absent","whether the participant pointed to an empty plate"
"indicated_food","whether the point to an empty plate was directed at the one that previously contained high-quality (hq) or low-quality (lq) food"
"prompt","when both plates were empty -  the experimenter produced a prompt when the participant did not point"
