"study_id","experiment_name","year","month","day","participant","age_original","age_in_years","sex","species","species_subgroup","session","trial","condition","app_left","app_right","side_indicated","cho2","code2"
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,1,"arbitrary","b","a","r","n",0
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,2,"arbitrary","b","a","r","r",1
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,3,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,4,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,5,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,6,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,7,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,8,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,9,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,10,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,11,"arbitrary","b","a","l","r",0
"bohn2016comprehension","1a",2012,9,21,"fraukje",36.46,36,"f","chimpanzee","a",1,12,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,1,"arbitrary","b","a","r","n",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,2,"arbitrary","b","a","l","n",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,3,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,4,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,5,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,6,"arbitrary","b","a","l","r",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,7,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,8,"arbitrary","b","a","l","r",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,9,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,10,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,11,"arbitrary","b","a","l","n",0
"bohn2016comprehension","1a",2012,9,22,"fraukje",36.46,36,"f","chimpanzee","a",2,12,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,9,23,"fraukje",36.46,36,"f","chimpanzee","a",3,1,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,9,23,"fraukje",36.46,36,"f","chimpanzee","a",3,2,"arbitrary","b","a","l","l",1
