"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc"
"year","year the data point was obtained "
"month","month the data point was obtained"
"day","day of the month the data point was obtained"
"date","original date format if provided by authors"
"participant","name of the participant"
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -chimpanzee"
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session","set of trials - mostly occurring on the same day - usually numerical"
"trial","presentation of the experiment to the participants - usually numerical"
"condition","iconic or arbitrary"
"app_left","apparatus on the left side"
"app_right","apparatus on the right side"
"side_indicated","side referred to by the gesture"
"cho2","side chosen by the participant"
"code2","whether the chosen side was correct"
