"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"phase","testwarmup was when both plates were baited - test was when one plate was empty"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"see","if the experimenter saw what was previously on the plate (1 = yes)"
"bring","if the experimenter brought the  participant food in a comparable situation before (1 = yes)"
"condition","whether the same or different types of food were on the two plates"
"food_left","food on the left plate"
"food_right","food on the right plate"
"point","whether the  participant pointed"
"side_indicated","to which side the  participant pointed"
"food_indicated","which type of food the participant pointed at"
"point_to_empty","whether the  participant pointed to an empty plate"
