"study_id","year","month","day","participant","age_in_years","sex","species","species_subgroup","session_cond","session_total","trial","condition_sep","condition","toolends","exposure","bait","choice","perf","look","food"
"bohn2017information",2016,6,3,"bimbo",35,"m","orangutan","a",1,1,1,"tooltraining","tooltraining","-","-",1,3,0,"-",0
"bohn2017information",2016,6,3,"bimbo",35,"m","orangutan","a",1,1,2,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"bimbo",35,"m","orangutan","a",1,1,3,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"bimbo",35,"m","orangutan","a",1,1,4,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"bimbo",35,"m","orangutan","a",1,1,5,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"bimbo",35,"m","orangutan","a",1,1,6,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"bimbo",35,"m","orangutan","a",1,1,7,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"bimbo",35,"m","orangutan","a",1,1,8,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"bimbo",35,"m","orangutan","a",1,1,9,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"raja",12,"f","orangutan",,1,1,1,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"raja",12,"f","orangutan",,1,1,2,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"raja",12,"f","orangutan",,1,1,3,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"raja",12,"f","orangutan",,1,1,4,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"raja",12,"f","orangutan",,1,1,5,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"raja",12,"f","orangutan",,1,1,6,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"raja",12,"f","orangutan",,1,1,7,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"raja",12,"f","orangutan",,1,1,8,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"raja",12,"f","orangutan",,1,1,9,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"pini",27,"f","orangutan","a",1,1,1,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"pini",27,"f","orangutan","a",1,1,2,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"pini",27,"f","orangutan","a",1,1,3,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"pini",27,"f","orangutan","a",1,1,4,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"pini",27,"f","orangutan","a",1,1,5,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"pini",27,"f","orangutan","a",1,1,6,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"pini",27,"f","orangutan","a",1,1,7,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"pini",27,"f","orangutan","a",1,1,8,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"pini",27,"f","orangutan","a",1,1,9,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"batak",6,"m","orangutan",,1,1,1,"tooltraining","tooltraining","-","-",1,2,0,"-",0
"bohn2017information",2016,6,3,"batak",6,"m","orangutan",,1,1,2,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"batak",6,"m","orangutan",,1,1,3,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"batak",6,"m","orangutan",,1,1,4,"tooltraining","tooltraining","-","-",1,3,0,"-",0
"bohn2017information",2016,6,3,"batak",6,"m","orangutan",,1,1,5,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"batak",6,"m","orangutan",,1,1,6,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"batak",6,"m","orangutan",,1,1,7,"tooltraining","tooltraining","-","-",2,3,0,"-",0
"bohn2017information",2016,6,3,"batak",6,"m","orangutan",,1,1,8,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"batak",6,"m","orangutan",,1,1,9,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"padana",18,"f","orangutan",,1,1,1,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"padana",18,"f","orangutan",,1,1,2,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"padana",18,"f","orangutan",,1,1,3,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"padana",18,"f","orangutan",,1,1,4,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"padana",18,"f","orangutan",,1,1,5,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"padana",18,"f","orangutan",,1,1,6,"tooltraining","tooltraining","-","-",3,3,1,"-",1
"bohn2017information",2016,6,3,"padana",18,"f","orangutan",,1,1,7,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"padana",18,"f","orangutan",,1,1,8,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"padana",18,"f","orangutan",,1,1,9,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"tanah",6,"f","orangutan","a",1,1,1,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"tanah",6,"f","orangutan","a",1,1,2,"tooltraining","tooltraining","-","-",2,2,1,"-",1
"bohn2017information",2016,6,3,"tanah",6,"f","orangutan","a",1,1,3,"tooltraining","tooltraining","-","-",3,1,0,"-",0
"bohn2017information",2016,6,3,"tanah",6,"f","orangutan","a",1,1,4,"tooltraining","tooltraining","-","-",1,1,1,"-",1
"bohn2017information",2016,6,3,"tanah",6,"f","orangutan","a",1,1,5,"tooltraining","tooltraining","-","-",3,2,0,"-",0
"bohn2017information",2016,6,3,"tanah",6,"f","orangutan","a",1,1,6,"tooltraining","tooltraining","-","-",3,2,0,"-",0
"bohn2017information",2016,6,3,"tanah",6,"f","orangutan","a",1,1,7,"tooltraining","tooltraining","-","-",2,1,0,"-",0
"bohn2017information",2016,6,3,"tanah",6,"f","orangutan","a",1,1,8,"tooltraining","tooltraining","-","-",1,1,1,"-",1
