"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -chimpanzee/orangutan "
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session_cond","session count within condition"
"session_total","session count across conditions"
"trial","presentation of the experiment to the participants - usually numerical "
"condition_sep","condition name including number of phase (e.g. tooltest2 is second instance of tooltest condition)"
"condition","name of condition"
"toolends","whether tool ends were protruding through the occluder (vis = visible - nvis = not visible)"
"exposure","whether the tools were visible or hidden during exposure phase"
"bait","location baited"
"choice","location chosen"
"perf","whether baited location was chosen location"
"look","whether participant looked over the barrier"
"food","whether the participant retrieved the food using the tool"
