"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee/orangutan "
"group_original","whether the participant started with the training or the test"
"sessiontotal","session count across conditions"
"sessioncond","session count within condition"
"trial","presentation of the experiment to the participants - usually numerical "
"condition","test = iconic gestures / training = pointing gestures"
"appleft","apparatus on the left – pulldown / pushin / turncrank / pushleftright "
"appright","apparatus on the right – pulldown / pushin / turncrank / pushleftright "
"toneleft","tone played at the left apparatus"
"toneright","tone played at the right apparatus"
"indicated","side indicated by the gesture"
"choice","side the participant approached"
"code","whether the approached side was the indicated side"
"train","whether the participant reached the training criterion at any point during the experiment"
