study_id,experiment,year,participant,age_in_years,sex,species,condition,test,collect_v_ab,collect_nv_ab,collect_v_ba,collect_nv_ba,token_rwd
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,pretest,1.0,0.0,0.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,1,2.0,0.0,2.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,2,3.0,3.0,1.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,3,2.0,3.0,1.0,3.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,4,1.0,0.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,5,7.0,6.0,3.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,6,3.0,0.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,7,1.0,3.0,0.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,8,2.0,3.0,0.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,9,2.0,0.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,10,4.0,4.0,1.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,11,8.0,7.0,2.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,12,8.0,9.0,1.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,13,2.0,5.0,1.0,2.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,14,3.0,1.0,2.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,e,15,2.0,1.0,1.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,pretest,4.0,1.0,1.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,1,3.0,0.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,2,6.0,7.0,2.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,3,8.0,2.0,0.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,4,5.0,2.0,4.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,5,5.0,1.0,2.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,6,5.0,2.0,2.0,2.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,7,3.0,3.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,8,1.0,8.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,9,8.0,2.0,2.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,10,9.0,13.0,1.0,3.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,11,7.0,5.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,12,3.0,0.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,13,3.0,5.0,1.0,1.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,14,3.0,6.0,2.0,2.0,tube
bourjade2014bonobos,2,2009,joey,27,m,bonobo,r,15,7.0,7.0,2.0,1.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,pretest,2.0,1.0,2.0,1.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,1,1.0,5.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,2,0.0,4.0,0.0,4.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,3,6.0,5.0,1.0,4.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,4,7.0,1.0,7.0,1.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,5,12.0,0.0,12.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,6,8.0,0.0,0.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,7,3.0,7.0,2.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,8,4.0,0.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,9,0.0,7.0,0.0,6.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,10,10.0,10.0,0.0,4.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,11,0.0,12.0,0.0,2.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,12,4.0,6.0,2.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,13,9.0,0.0,4.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,14,8.0,1.0,8.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,e,15,6.0,2.0,5.0,2.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,pretest,1.0,3.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,1,3.0,8.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,2,0.0,6.0,0.0,5.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,3,0.0,5.0,0.0,5.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,4,4.0,0.0,4.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,5,8.0,5.0,5.0,4.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,6,3.0,16.0,0.0,3.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,7,0.0,11.0,0.0,8.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,8,1.0,4.0,1.0,4.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,9,4.0,2.0,0.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,10,0.0,0.0,0.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,11,0.0,0.0,0.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,12,1.0,0.0,1.0,0.0,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,13,,,,,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,14,,,,,tube
bourjade2014bonobos,2,2009,limbuko,15,m,bonobo,r,15,,,,,tube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,pretest,0.0,0.0,0.0,0.0,cube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,1,0.0,0.0,0.0,0.0,cube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,2,0.0,0.0,0.0,0.0,cube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,3,0.0,0.0,0.0,0.0,cube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,4,0.0,0.0,0.0,0.0,cube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,5,0.0,0.0,0.0,0.0,cube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,6,0.0,0.0,0.0,0.0,cube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,7,0.0,1.0,0.0,1.0,cube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,8,0.0,0.0,0.0,0.0,cube
bourjade2014bonobos,2,2009,kuno,14,m,bonobo,r,9,0.0,0.0,0.0,0.0,cube
