study_id,experiment,experiment_name,participant,age_in_years,sex,species,trial,condition,reaction,success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,1,gaze-at-ceiling,look-up,success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,2,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,3,gaze-at-ceiling,look-up,success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,4,gaze-at-subject,look-up,no-success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,5,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,6,gaze-at-subject,look-up,no-success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,7,gaze-at-ceiling,look-up,success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,8,gaze-at-subject,look-up,no-success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,9,gaze-at-ceiling,look-up,success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,10,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,11,gaze-at-ceiling,look-up,success
brauer2005all,1,gaze,bebe,22.0,f,gorilla,12,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,1,gaze-at-ceiling,look-up,success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,2,gaze-at-subject,look-up,no-success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,3,gaze-at-ceiling,look-up,success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,4,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,5,gaze-at-ceiling,look-up,success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,6,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,7,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,8,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,9,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,10,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,11,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,gorgo,20.0,m,gorilla,12,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,1,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,2,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,3,gaze-at-subject,look-up,no-success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,4,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,5,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,6,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,7,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,8,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,9,gaze-at-subject,not-look-up,success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,10,gaze-at-ceiling,not-look-up,no-success
brauer2005all,1,gaze,ruby_b'windi,4.0,f,gorilla,11,gaze-at-subject,not-look-up,success
