study_id,experiment,experiment_name,participant,age_in_years,sex,species,trial,condition,success,duration_target_spot_in_seconds
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,1,window,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,1,window-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,2,under,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,2,under-control,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,3,under-left,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,3,under-left-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,4,door,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,4,door-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,5,under,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,5,under-control,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,6,window,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,6,window-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,7,door,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,7,door-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,8,under-left,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,8,under-left-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,9,window,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,9,window-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,10,under,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,10,under-control,,60.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,11,under-left,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,11,under-left-control,,0.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,12,door,success,2.0
brauer2005all,2,looking_around,bebe,22.0,f,gorilla,12,door-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,1,under-left,success,9.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,1,under-left-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,2,door,no-success,8.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,2,door-control,no-success,38.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,3,under,success,60.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,3,under-control,success,31.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,4,window,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,4,window-control,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,5,door,success,36.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,5,door-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,6,under-left,success,39.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,6,under-left-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,7,window,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,7,window-control,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,8,under,,60.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,8,under-control,,60.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,9,under-left,success,56.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,9,under-left-control,success,38.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,10,door,success,48.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,10,door-control,success,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,11,under,success,60.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,11,under-control,success,56.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,12,window,,0.0
brauer2005all,2,looking_around,bimbo,21.0,m,orangutan,12,window-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,1,under,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,1,under-control,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,2,window,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,2,window-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,3,under-left,success,35.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,3,under-left-control,success,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,4,door,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,4,door-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,5,window,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,5,window-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,6,under,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,6,under-control,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,7,door,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,7,door-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,8,under-left,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,8,under-left-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,9,under,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,9,under-control,,60.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,10,window,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,10,window-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,11,door,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,11,door-control,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,12,under-left,,0.0
brauer2005all,2,looking_around,dunja,30.0,f,orangutan,12,under-left-control,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,1,window,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,1,window-control,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,2,under,success,13.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,2,under-control,success,4.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,3,door,success,29.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,3,door-control,success,17.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,4,under-left,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,4,under-left-control,,0.0
brauer2005all,2,looking_around,fraukje,25.0,f,chimpanzee,5,under,no-success,14.0
