study_id,participant,age_in_years,sex,species,session,point,reach_first,shape,noise_ghost,look,try_to_open,noise,shape_ghost,point_continuous,reach,shape_smell_control,noise_arbitrary_control,look_continuous,try_to_open_2,noise_empty,shape_block_control,no_cue_control
brauer2006making,corry,26,f,chimpanzee,a,1.0,0.0,1.0,0.0,,,,,,,,,,,,,
brauer2006making,corry,26,f,chimpanzee,a,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
brauer2006making,corry,26,f,chimpanzee,a,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
brauer2006making,corry,26,f,chimpanzee,a,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
brauer2006making,corry,26,f,chimpanzee,a,1.0,0.0,1.0,0.0,,,,,,,,,,,,,
brauer2006making,corry,26,f,chimpanzee,a,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
brauer2006making,gertrudia,9,f,chimpanzee,a,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
brauer2006making,gertrudia,9,f,chimpanzee,a,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
brauer2006making,gertrudia,9,f,chimpanzee,a,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
brauer2006making,gertrudia,9,f,chimpanzee,a,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
brauer2006making,gertrudia,9,f,chimpanzee,a,1.0,0.0,1.0,0.0,,,,,,,,,,,,,
brauer2006making,gertrudia,9,f,chimpanzee,a,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
brauer2006making,sandra,9,f,chimpanzee,a,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
brauer2006making,sandra,9,f,chimpanzee,a,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
brauer2006making,sandra,9,f,chimpanzee,a,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
brauer2006making,sandra,9,f,chimpanzee,a,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
