study_id,experiment,participant,age_in_years,sex,species,present,condition,group,production,tools_prepared,grapes_eaten,success
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,10.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,12.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,1.0,1.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,3.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,0.0,7.0,0.875
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,1.0,7.0,0.875
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,8.0,6.0,0.75
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,5.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,4.0,3.0,0.375
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,5.0,2.0,0.25
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,10.0,3.0,0.375
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,1.0,5.0,0.625
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,3.0,1.0,0.125
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,1.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,2.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,4.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,2.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,1.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,1.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,1.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,6.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,bimbo,30,m,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,0.0,1.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,1.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,2.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,1.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,one-grape,1,120_sec,1.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,no-apparatus,1,120_sec,0.0,8.0,1.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,2.0,2.0,0.25
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,0.0,0.0,0.0
brauer2015apes,1,dokana,21,f,orangutan,,all-grape,1,120_sec,1.0,0.0,0.0
