"study_id","participant","age_in_years","sex","species","session","lotterie","exchange_1-yes_0-no","expected_value","outcomepreceedingtype","outcomecumulatedtype"
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,17,1,1.75,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,3,1,5.5,-1,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,6,1,4,1,-1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,11,1,3,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,16,1,2,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,4,1,5,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,1,1,8,1,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,7,1,3.75,1,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,9,1,3.25,0,2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,5,1,4.5,0,2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,12,1,2.75,1,2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,15,1,2,0,3
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,10,1,3,-1,3
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,18,0,0.5,-1,2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,8,1,3.5,0,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,13,0,2.5,-1,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,14,0,2.25,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",1,2,1,6,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,11,1,3,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,16,0,2,1,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,9,0,3.25,0,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,14,0,2.25,0,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,6,1,4,0,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,3,1,5.5,0,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,4,1,5,1,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,8,1,3.5,0,2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,17,0,1.75,1,2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,2,1,6,0,3
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,7,1,3.75,1,3
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,12,1,2.75,0,4
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,15,1,2,0,4
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,10,1,3,-1,4
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,18,0,0.5,1,3
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,5,1,4.5,0,4
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,1,1,8,1,4
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",2,13,1,2.5,1,5
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,8,1,3.5,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,9,1,3.25,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,3,1,5.5,1,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,12,1,2.75,-1,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,6,1,4,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,11,0,3,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,17,0,1.75,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,14,0,2.25,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,4,0,5,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,15,1,2,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,10,1,3,-1,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,13,1,2.5,-1,-1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,7,1,3.75,-1,-2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,5,1,4.5,1,-3
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,18,0,0.5,1,-2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,16,0,2,0,-1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,1,1,8,0,-1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",3,2,1,6,1,-1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,8,1,3.5,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,3,1,5.5,-1,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,6,1,4,1,-1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,5,1,4.5,0,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,12,1,2.75,1,0
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,14,1,2.25,0,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,10,1,3,0,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,18,0,0.5,1,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,2,1,6,0,2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,15,1,2,1,2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,7,1,3.75,-1,3
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,4,1,5,-1,2
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,17,0,1.75,0,1
"broihanne2019monkeys","raimbaud",7,"m","tonkean_macaque",4,9,1,3.25,0,1
