"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment_name","name of data subset: prosocial and antisocial choices and emotional reactions"
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study – chimpanzee"
"condition","experiment condition in which participants got offered a food after watching experimenters fighting - phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4/ phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2 "
"choice","choice participants made – 0 means antisocial / 1 means prosocial"
"first_choice_in_phase3","the first choice in phase 3 – antisocial / prosocial "
"event","event that occurs in each of the phases -fight  / consolation"
"behaviors","instance of behaviors from the list in original file Bueno-Guerra_2020_emot_chimp_codes_BEAS_EFS - 0 / 1 / 2 / 3 / 4 / 5"
"vocalizations","whether vocalisation occurred or not - 0 / 1"
