study_id,experiment,participant,sex,species,session,trial,condition,side_start,baited_egg,choice,correct
buttelmann2008behavioral,2,robert,m,chimpanzee,1.0,1.0,smell_vs_smell_and_pull_apart,left,right,right,yes
buttelmann2008behavioral,2,robert,m,chimpanzee,1.0,2.0,smell_vs_smell_and_pull_apart,right,left,right,no
buttelmann2008behavioral,2,robert,m,chimpanzee,1.0,3.0,smell_vs_smell_and_pull_apart,left,left,left,yes
buttelmann2008behavioral,2,robert,m,chimpanzee,1.0,4.0,smell_vs_smell_and_pull_apart,left,right,right,yes
buttelmann2008behavioral,2,robert,m,chimpanzee,1.0,5.0,smell_vs_smell_and_pull_apart,right,right,right,yes
buttelmann2008behavioral,2,robert,m,chimpanzee,1.0,6.0,smell_vs_smell_and_pull_apart,left,left,right,no
buttelmann2008behavioral,2,robert,m,chimpanzee,2.0,7.0,smell_vs_smell_and_pull_apart,right,left,right,no
buttelmann2008behavioral,2,robert,m,chimpanzee,2.0,8.0,smell_vs_smell_and_pull_apart,left,right,right,yes
buttelmann2008behavioral,2,robert,m,chimpanzee,2.0,9.0,smell_vs_smell_and_pull_apart,right,right,right,yes
buttelmann2008behavioral,2,robert,m,chimpanzee,2.0,10.0,smell_vs_smell_and_pull_apart,right,left,right,no
buttelmann2008behavioral,2,robert,m,chimpanzee,2.0,11.0,smell_vs_smell_and_pull_apart,left,left,right,no
buttelmann2008behavioral,2,robert,m,chimpanzee,2.0,12.0,smell_vs_smell_and_pull_apart,right,right,right,yes
buttelmann2008behavioral,2,fraukje,f,chimpanzee,1.0,1.0,smell_vs_smell_and_pull_apart,left,left,right,no
buttelmann2008behavioral,2,fraukje,f,chimpanzee,1.0,2.0,smell_vs_smell_and_pull_apart,left,right,right,yes
buttelmann2008behavioral,2,fraukje,f,chimpanzee,1.0,3.0,smell_vs_smell_and_pull_apart,right,left,right,no
buttelmann2008behavioral,2,fraukje,f,chimpanzee,1.0,4.0,smell_vs_smell_and_pull_apart,right,right,left,no
buttelmann2008behavioral,2,fraukje,f,chimpanzee,1.0,5.0,smell_vs_smell_and_pull_apart,left,left,right,no
buttelmann2008behavioral,2,fraukje,f,chimpanzee,1.0,6.0,smell_vs_smell_and_pull_apart,right,right,right,yes
buttelmann2008behavioral,2,fraukje,f,chimpanzee,2.0,7.0,smell_vs_smell_and_pull_apart,left,right,right,yes
buttelmann2008behavioral,2,fraukje,f,chimpanzee,2.0,8.0,smell_vs_smell_and_pull_apart,right,right,right,yes
buttelmann2008behavioral,2,fraukje,f,chimpanzee,2.0,9.0,smell_vs_smell_and_pull_apart,left,left,right,no
buttelmann2008behavioral,2,fraukje,f,chimpanzee,2.0,10.0,smell_vs_smell_and_pull_apart,right,left,left,yes
buttelmann2008behavioral,2,fraukje,f,chimpanzee,2.0,11.0,smell_vs_smell_and_pull_apart,left,right,right,yes
buttelmann2008behavioral,2,fraukje,f,chimpanzee,2.0,12.0,smell_vs_smell_and_pull_apart,right,left,left,yes
buttelmann2008behavioral,2,jahaga,f,chimpanzee,1.0,1.0,smell_vs_smell_and_pull_apart,left,left,right,no
buttelmann2008behavioral,2,jahaga,f,chimpanzee,1.0,2.0,smell_vs_smell_and_pull_apart,left,right,right,yes
buttelmann2008behavioral,2,jahaga,f,chimpanzee,1.0,3.0,smell_vs_smell_and_pull_apart,right,left,right,no
buttelmann2008behavioral,2,jahaga,f,chimpanzee,1.0,4.0,smell_vs_smell_and_pull_apart,right,right,right,yes
buttelmann2008behavioral,2,jahaga,f,chimpanzee,1.0,5.0,smell_vs_smell_and_pull_apart,left,left,right,no
