"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"participant","name of the participant"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"session","set of trials - mostly occurring on the same day - usually numerical"
"trial","presentation of the experiment to the ape participants - usually numerical"
"condition","smell vs smell and bite empty eggs- demonstrator took the egg and moved it near his nose to smell it then bit into the egg with his teeth visible also experimenter showed that both eggs were empty / egg_at_chest_vs_smell_and_bite- demonstrator took the egg and moved it near his nose to smell it then bit into the egg with his teeth visible "
"side_start","side where the demonstrator first performed the cues"
"baited_egg","whether the baited egg was placed"
"choice","what the participant chose"
"correct","whether the participant answer was correct"
