study_id,experiment,participant,age_in_years,sex,species,trial,condition,response
buttelmann2017great,2,sandra,17,f,chimpanzee,1,false_belief_exp2,box_with_object
buttelmann2017great,2,sandra,17,f,chimpanzee,2,false_belief_exp2,box_with_object
buttelmann2017great,2,sandra,17,f,chimpanzee,3,false_belief_exp2,box_with_object
buttelmann2017great,2,sandra,17,f,chimpanzee,4,false_belief_exp2,empty_box
buttelmann2017great,2,sandra,17,f,chimpanzee,5,false_belief_exp2,box_with_object
buttelmann2017great,2,sandra,17,f,chimpanzee,6,false_belief_exp2,box_with_object
buttelmann2017great,2,pia,11,f,chimpanzee,1,false_belief_exp2,box_with_object
buttelmann2017great,2,pia,11,f,chimpanzee,2,false_belief_exp2,box_with_object
buttelmann2017great,2,pia,11,f,chimpanzee,3,false_belief_exp2,box_with_object
buttelmann2017great,2,pia,11,f,chimpanzee,4,false_belief_exp2,box_with_object
buttelmann2017great,2,pia,11,f,chimpanzee,5,false_belief_exp2,box_with_object
buttelmann2017great,2,pia,11,f,chimpanzee,6,false_belief_exp2,box_with_object
buttelmann2017great,2,alex,10,m,chimpanzee,1,false_belief_exp2,box_with_object
buttelmann2017great,2,alex,10,m,chimpanzee,2,false_belief_exp2,empty_box
buttelmann2017great,2,alex,10,m,chimpanzee,3,false_belief_exp2,empty_box
buttelmann2017great,2,alex,10,m,chimpanzee,4,false_belief_exp2,empty_box
buttelmann2017great,2,alex,10,m,chimpanzee,5,false_belief_exp2,empty_box
buttelmann2017great,2,alex,10,m,chimpanzee,6,false_belief_exp2,box_with_object
buttelmann2017great,2,lobo,6,m,chimpanzee,1,false_belief_exp2,empty_box
buttelmann2017great,2,lobo,6,m,chimpanzee,2,false_belief_exp2,box_with_object
buttelmann2017great,2,lobo,6,m,chimpanzee,3,false_belief_exp2,box_with_object
buttelmann2017great,2,lobo,6,m,chimpanzee,4,false_belief_exp2,box_with_object
buttelmann2017great,2,lobo,6,m,chimpanzee,5,false_belief_exp2,box_with_object
buttelmann2017great,2,lobo,6,m,chimpanzee,6,false_belief_exp2,empty_box
buttelmann2017great,2,robert,35,m,chimpanzee,1,ignorance,box_with_object
buttelmann2017great,2,robert,35,m,chimpanzee,2,ignorance,box_with_object
buttelmann2017great,2,robert,35,m,chimpanzee,3,ignorance,box_with_object
buttelmann2017great,2,robert,35,m,chimpanzee,4,ignorance,box_with_object
buttelmann2017great,2,robert,35,m,chimpanzee,5,ignorance,empty_box
buttelmann2017great,2,robert,35,m,chimpanzee,6,ignorance,empty_box
buttelmann2017great,2,kofi,5,m,chimpanzee,1,ignorance,empty_box
buttelmann2017great,2,kofi,5,m,chimpanzee,2,ignorance,empty_box
buttelmann2017great,2,kofi,5,m,chimpanzee,3,ignorance,empty_box
buttelmann2017great,2,kofi,5,m,chimpanzee,4,ignorance,empty_box
buttelmann2017great,2,kofi,5,m,chimpanzee,5,ignorance,box_with_object
buttelmann2017great,2,kofi,5,m,chimpanzee,6,ignorance,empty_box
buttelmann2017great,2,natascha,30,f,chimpanzee,1,ignorance,box_with_object
buttelmann2017great,2,natascha,30,f,chimpanzee,2,ignorance,
