"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","vertical baseline conditions- one cup was positioned on top of table and the other beneath - vertical_baseline = grape was placed five times in the top cup and five times in the bottom cup /vertical_switch= grape was placed in the same cup on five consecutive trials and in the sixth trial the grape was put in the other cup followed by four trials in which it was randomly placed// horizontal baseline conditions - one cup was placed at the far end of the surface with another cup 19 cm away from it/ horizontal_baseline= grape was placed randomly in either cup/ horizontal_switch= grape was placed in the same cup on five consecutive trials and in the sixth trial the grape was put in the other cup followed by four trials in which it was randomly placed"
"response","participant response - top/down - front/back"
"correct","whether the response was correct or incorrect"
