"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","varied length of the falling trajectory- vertical_test_far (grape dropped 25 cm above the screen) / vertical_test_near (grape was dropped directly above the screen)"
"response","participant response - top/down"
"correct","whether the response was correct or incorrect"
