study_id,experiment,participant,sex,species,session,trial,condition,response,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,1.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,2.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,3.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,4.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,1.0,vertical_test_great_alignment_far,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,2.0,vertical_test_great_alignment_far,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,3.0,vertical_test_great_alignment_far,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,4.0,vertical_test_great_alignment_far,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,1.0,vertical_test_great_alignment_far_opposite_c.,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,2.0,vertical_test_great_alignment_far_opposite_c.,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,3.0,vertical_test_great_alignment_far_opposite_c.,top,correct
cacchione2009gravity,3,bebe,f,gorilla,1.0,4.0,vertical_test_great_alignment_far_opposite_c.,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,1.0,vertical_test_slight_alignment_far,down,incorrect
cacchione2009gravity,3,n’diki,f,gorilla,1.0,2.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,3.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,4.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,5.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,1.0,vertical_test_great_alignment_far,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,2.0,vertical_test_great_alignment_far,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,3.0,vertical_test_great_alignment_far,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,4.0,vertical_test_great_alignment_far,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,1.0,vertical_test_great_alignment_far_opposite_c.,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,2.0,vertical_test_great_alignment_far_opposite_c.,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,3.0,vertical_test_great_alignment_far_opposite_c.,top,correct
cacchione2009gravity,3,n’diki,f,gorilla,1.0,4.0,vertical_test_great_alignment_far_opposite_c.,top,correct
cacchione2009gravity,3,ruby_b'windi,f,gorilla,1.0,1.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,ruby_b'windi,f,gorilla,1.0,2.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,ruby_b'windi,f,gorilla,1.0,3.0,vertical_test_slight_alignment_far,down,incorrect
cacchione2009gravity,3,ruby_b'windi,f,gorilla,1.0,4.0,vertical_test_slight_alignment_far,down,incorrect
cacchione2009gravity,3,ruby_b'windi,f,gorilla,1.0,5.0,vertical_test_slight_alignment_far,top,correct
cacchione2009gravity,3,ruby_b'windi,f,gorilla,1.0,6.0,vertical_test_slight_alignment_far,top,correct
