study_id,experiment,year,month,day,participant,sex,species,session,trial,condition,response_side,correct
cacchione2014apes,1,2011,4,20,louna,f,gorilla,3,1,obj_11,left,correct
cacchione2014apes,1,2011,4,20,louna,f,gorilla,3,2,obj_11,left,correct
cacchione2014apes,1,2011,4,20,louna,f,gorilla,3,3,obj_11,left,correct
cacchione2014apes,1,2011,4,20,louna,f,gorilla,3,4,obj_11,left,correct
cacchione2014apes,1,2011,4,20,louna,f,gorilla,3,1,obj_12,left,incorrect
cacchione2014apes,1,2011,4,20,louna,f,gorilla,3,2,obj_12,left,correct
cacchione2014apes,1,2011,4,20,louna,f,gorilla,3,3,obj_12,left,incorrect
cacchione2014apes,1,2011,4,20,louna,f,gorilla,3,4,obj_12,left,correct
cacchione2014apes,1,2011,4,19,louna,f,gorilla,3,1,slis_11,left,correct
cacchione2014apes,1,2011,4,19,louna,f,gorilla,3,2,slis_11,left,incorrect
cacchione2014apes,1,2011,4,19,louna,f,gorilla,3,3,slis_11,left,correct
cacchione2014apes,1,2011,4,19,louna,f,gorilla,3,4,slis_11,left,incorrect
cacchione2014apes,1,2011,4,19,louna,f,gorilla,3,1,slis_12,left,incorrect
cacchione2014apes,1,2011,4,19,louna,f,gorilla,3,2,slis_12,left,correct
cacchione2014apes,1,2011,4,19,louna,f,gorilla,3,3,slis_12,left,incorrect
cacchione2014apes,1,2011,4,19,louna,f,gorilla,3,4,slis_12,left,correct
cacchione2014apes,1,2011,4,14,louna,f,gorilla,3,1,sols_11,left,incorrect
cacchione2014apes,1,2011,4,14,louna,f,gorilla,3,2,sols_11,left,correct
cacchione2014apes,1,2011,4,14,louna,f,gorilla,3,3,sols_11,left,incorrect
cacchione2014apes,1,2011,4,14,louna,f,gorilla,3,4,sols_11,left,correct
cacchione2014apes,1,2011,4,14,louna,f,gorilla,3,1,sols_12,left,correct
cacchione2014apes,1,2011,4,14,louna,f,gorilla,3,2,sols_12,right,correct
cacchione2014apes,1,2011,4,14,louna,f,gorilla,3,3,sols_12,left,correct
cacchione2014apes,1,2011,4,14,louna,f,gorilla,3,4,sols_12,left,incorrect
cacchione2014apes,1,2011,4,14,gorgo,m,gorilla,1,1,obj_11,left,correct
cacchione2014apes,1,2011,4,14,gorgo,m,gorilla,1,2,obj_11,right,incorrect
cacchione2014apes,1,2011,4,14,gorgo,m,gorilla,1,3,obj_11,left,correct
cacchione2014apes,1,2011,4,14,gorgo,m,gorilla,1,4,obj_11,right,incorrect
cacchione2014apes,1,2011,4,14,gorgo,m,gorilla,1,1,obj_12,left,incorrect
