study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_left_codes,food_on_right,food_on_right_codes,choice,choice_codes,success
call2004inferences,4,vimoto,6.0,m,gorilla,1.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,2.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,3.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,4.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,5.0,3.0,no,stirred_empty,yes,stirred_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,6.0,2.0,yes,stirred_baited,no,shaken_empty,2.0,left,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,7.0,2.0,no,shaken_empty,yes,stirred_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,8.0,3.0,yes,stirred_baited,no,stirred_empty,2.0,left,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,9.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,10.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,11.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,12.0,2.0,yes,stirred_baited,no,shaken_empty,2.0,left,0.0
call2004inferences,4,vimoto,6.0,m,gorilla,13.0,2.0,no,shaken_empty,yes,stirred_baited,2.0,left,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,14.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,vimoto,6.0,m,gorilla,15.0,3.0,yes,stirred_baited,no,stirred_empty,2.0,left,0.0
