study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_right,choice,choice_codes,success
call2004inferences,6,viringika,6.0,f,gorilla,1.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,viringika,6.0,f,gorilla,2.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,viringika,6.0,f,gorilla,3.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,viringika,6.0,f,gorilla,4.0,control,no,yes,2.0,left,1.0
call2004inferences,6,viringika,6.0,f,gorilla,5.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,viringika,6.0,f,gorilla,6.0,control,yes,no,2.0,left,0.0
call2004inferences,6,viringika,6.0,f,gorilla,7.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,viringika,6.0,f,gorilla,8.0,control,yes,no,1.0,right,1.0
call2004inferences,6,viringika,6.0,f,gorilla,9.0,control,no,yes,2.0,left,1.0
call2004inferences,6,viringika,6.0,f,gorilla,10.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,viringika,6.0,f,gorilla,11.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,viringika,6.0,f,gorilla,12.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,viringika,6.0,f,gorilla,13.0,control,no,yes,1.0,right,0.0
call2004inferences,6,viringika,6.0,f,gorilla,14.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,viringika,6.0,f,gorilla,15.0,control,yes,no,2.0,left,0.0
call2004inferences,6,viringika,6.0,f,gorilla,16.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,viringika,6.0,f,gorilla,17.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,viringika,6.0,f,gorilla,18.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,viringika,6.0,f,gorilla,19.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,viringika,6.0,f,gorilla,20.0,control,no,yes,2.0,left,1.0
call2004inferences,6,viringika,6.0,f,gorilla,21.0,control,yes,no,2.0,left,0.0
call2004inferences,6,viringika,6.0,f,gorilla,22.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,viringika,6.0,f,gorilla,23.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,viringika,6.0,f,gorilla,24.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,1.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,sandra,8.0,f,chimpanzee,2.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,3.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,4.0,control,yes,no,2.0,left,0.0
call2004inferences,6,sandra,8.0,f,chimpanzee,5.0,control,no,yes,1.0,right,0.0
call2004inferences,6,sandra,8.0,f,chimpanzee,6.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,7.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,sandra,8.0,f,chimpanzee,8.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,9.0,control,yes,no,1.0,right,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,10.0,control,no,yes,2.0,left,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,11.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,sandra,8.0,f,chimpanzee,12.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,13.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,sandra,8.0,f,chimpanzee,14.0,control,no,yes,2.0,left,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,15.0,control,yes,no,1.0,right,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,16.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,17.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,18.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,sandra,8.0,f,chimpanzee,19.0,control,yes,no,1.0,right,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,20.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,21.0,control,no,yes,1.0,right,0.0
call2004inferences,6,sandra,8.0,f,chimpanzee,22.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,sandra,8.0,f,chimpanzee,23.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,sandra,8.0,f,chimpanzee,24.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,1.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,2.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,3.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,4.0,control,no,yes,1.0,right,0.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,5.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,6.0,control,yes,no,1.0,right,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,7.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,8.0,control,yes,no,2.0,left,0.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,9.0,control,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,10.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,11.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,12.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,13.0,control,no,yes,1.0,right,0.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,14.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,15.0,control,yes,no,1.0,right,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,16.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,17.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,18.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,19.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,20.0,control,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,21.0,control,yes,no,2.0,left,0.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,22.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,23.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,jahaga,8.0,f,chimpanzee,24.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,1.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,limbuko,6.0,m,bonobo,2.0,experimental_recorded_sound,no,yes,2.0,left,1.0
