study_id,participant,sex,role,participant_2,sex_2,role_2,present,species,dyad,session,trial,transfer_direct_partner_value,transfer_direct_no_value_token,transfer_direct_banana_peel,transfer_indirect_partner_value,transfer_indirect_no_value_token,transfer_indirect_banana_peel,transfer_passive_partner_value,transfer_passive_no_value_token,transfer_passive_banana_peel,catch_partner_value_token,catch_partner_no_value_token,catch_banana_peel,pointing_followed_by_valuable_token_transfer,pointing_followed_by_nonvaluable_token_transfer,pointing_followed_by_nothing,hand_beg_followed_by_valuable_token,hand_beg_followed_by_nonvaluable_token,hand_beg_followed_by_nothing,no_gesture_followed_by_valuable_token,no_gesture_followed_by_nonvaluable_token,alternations_general,alternations_valuable,pagai_to_bimbo,bimbo_to_pagai
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,1,1.0,,,,,,2.0,,,,,,,,,,,1.0,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,2,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,3,,,,,,,,,,,,,,,,2x_1gesture_1token_and_ 1x_1gesture_and_2tokens,,3.0,3.0,0.0,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,4,,,,,,,,,,,,,1,,2.0,,,,1.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,5,,,,,1.0,,,,,,,,2x_1gesture_1token_and_1x_1gesture_and_2tokens,,8.0,,,,4.0,,1,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,6,,,,,,,,,,,,,,,,,,,3.0,,1,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,7,,,,,,,,,,,,,,,,,,,6.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,8,,,,,,,,,,,,,1x_1gesture_and_4tokens,,3.0,,,,2.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,9,1.0,,,,,,,,,,,,1x_1gesture_1token_and_ 1x_1gesture_and_3tokens,,1.0,,,,,,1,1,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,10,,,,,,,,,,,,,,,1.0,,,,,1.0,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,11,,,,,,,,,,,,,3,,2.0,,,,2.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,1,12,,,,,,,,,,,,,1x_1gesture_and_3tokens,,,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,1,,,,,1.0,,,,,,,,1x_1gesture_1token_and_ 1x_1gesture_and_2tokens,,4.0,,,,12.0,,1,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,2,,,1.0,,,,,,,,,,,,1.0,,1,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,3,,,1.0,,,,,,,,,,1,,7.0,,,,3.0,,1,1,3x_transfer_direct_partner_value,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,4,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,5,1.0,,,,,,,,,,,,2,,4.0,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,6,,,,,,,,,,,,,,,3.0,,,,1.0,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,7,,,1.0,,,,,,,,,,1,,5.0,,,1.0,1.0,,1,1,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,8,,,,,,,,,,,,,,,,,,,,,0,0,,
dufour2009calculated,bimbo,m,giver,dokana,f,receiver,pagai,orangutan,bimbo_dokana,2,9,3.0,,,,,,,,,,,,,,2.0,,,1.0,,,0,0,,
