study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,session,trial,study,condition,group_original,pairing_cage3,pairing_cage4,stag_success,cage3_leave_hare,cage4_leave_hare,total_leave_hare,one_leave_hare,both_leave_hare,time_initiator_wait,ape_initiator,ape_follower,checkback_hare_cage3,checkback_hare_cage4,communication_hare_cage3,communication_hare_cage4,communication_stag_cage3,communication_stag_cage4,communication_stag_initiator
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,1,1,lowrisk,nb,nbfirst,1,1,0,0,1,1,1,0,25.76,lobo,fraukje,1,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,1,2,lowrisk,nb,nbfirst,1,1,1,1,1,2,1,1,4.6,lobo,fraukje,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,2,3,lowrisk,nb,nbfirst,1,1,1,1,1,2,1,1,0.0799999999999983,lobo,fraukje,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,2,4,lowrisk,nb,nbfirst,1,1,0,0,0,0,0,0, ,none,none,0,1,0,0,0,0,
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,3,5,lowrisk,nb,nbfirst,1,1,1,1,1,2,1,1,12.4,lobo,fraukje,1,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,3,6,lowrisk,nb,nbfirst,1,1,0,1,1,2,1,1,16.12,lobo,fraukje,1,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,4,7,lowrisk,nb,nbfirst,1,1,0,0,1,1,1,0,21.08,lobo,fraukje,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,4,8,lowrisk,nb,nbfirst,1,1,1,1,1,2,1,1,13.32,lobo,fraukje,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,5,9,lowrisk,nb,nbfirst,1,1,0,0,1,1,1,0,8.68,lobo,fraukje,1,1,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,5,10,lowrisk,nb,nbfirst,1,1,1,1,1,2,1,1,2.08,fraukje,lobo,0,1,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,6,11,lowrisk,nb,nbfirst,1,1,1,1,1,2,1,1,2.28,fraukje,lobo,0,1,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,lobo,5,m,focal_participant_2,chimpanzee,lobo_fraukje,6,12,lowrisk,nb,nbfirst,1,1,0,0,0,0,0,0, ,none,none,0,1,0,0,0,0,
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,1,1,lowrisk,nb,nbfirst,2,2,0,0,1,1,1,0,11.56,natascha,fraukje,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,1,2,lowrisk,nb,nbfirst,2,2,0,0,1,1,1,0,7.48,natascha,fraukje,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,2,3,lowrisk,nb,nbfirst,2,2,0,0,0,0,0,0, ,none,none,0,0,0,0,0,0,
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,2,4,lowrisk,nb,nbfirst,2,2,0,1,1,2,1,1,7.16,fraukje,natascha,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,3,5,lowrisk,nb,nbfirst,2,2,1,1,1,2,1,1,8.76,fraukje,natascha,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,3,6,lowrisk,nb,nbfirst,2,2,0,1,0,1,1,0,18.36,fraukje,natascha,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,4,7,lowrisk,nb,nbfirst,2,2,0,1,0,1,1,0,10,fraukje,natascha,1,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,4,8,lowrisk,nb,nbfirst,2,2,1,1,1,2,1,1,6.64,fraukje,natascha,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,5,9,lowrisk,nb,nbfirst,2,2,0,1,0,1,1,0,11.04,fraukje,natascha,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,5,10,lowrisk,nb,nbfirst,2,2,1,1,1,2,1,1,10.04,fraukje,natascha,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,6,11,lowrisk,nb,nbfirst,2,2,0,1,0,1,1,0,8.84,fraukje,natascha,1,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,natascha,29,f,focal_participant_2,chimpanzee,fraukje_natascha,6,12,lowrisk,nb,nbfirst,2,2,0,1,0,1,1,0,7.92,fraukje,natascha,1,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,pia,9,f,focal_participant_2,chimpanzee,fraukje_pia,1,1,lowrisk,nb,nbfirst,3,3,0,1,1,2,1,1,7.64,fraukje,pia,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,pia,9,f,focal_participant_2,chimpanzee,fraukje_pia,1,2,lowrisk,nb,nbfirst,3,3,1,1,1,2,1,1,1.4,fraukje,pia,1,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,pia,9,f,focal_participant_2,chimpanzee,fraukje_pia,2,3,lowrisk,nb,nbfirst,3,3,1,1,1,2,1,1,7.2,fraukje,pia,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,pia,9,f,focal_participant_2,chimpanzee,fraukje_pia,2,4,lowrisk,nb,nbfirst,3,3,0,1,1,2,1,1,8.76,fraukje,pia,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,pia,9,f,focal_participant_2,chimpanzee,fraukje_pia,3,5,lowrisk,nb,nbfirst,3,3,1,1,1,2,1,1,3.32,fraukje,pia,0,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,pia,9,f,focal_participant_2,chimpanzee,fraukje_pia,3,6,lowrisk,nb,nbfirst,3,3,1,1,1,2,1,1,2.04,fraukje,pia,1,0,0,0,0,0,0.0
duguid2014coordination,fraukje,33,f,focal_participant_1,pia,9,f,focal_participant_2,chimpanzee,fraukje_pia,4,7,lowrisk,nb,nbfirst,3,3,1,1,1,2,1,1,12.28,fraukje,pia,1,0,0,0,0,0,0.0
