"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal participant 1  "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – focal participant 2"
"species","species of individuals participating in the study - chimpanzee"
"dyad","name of the two participants that compose the dyad "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"study","study name according to relative hare values: lowrisk (hare very low value)/ highrisk (hare medium value)"
"condition","nb: no barrier between partners/ bc: opaque barrier between partners so the can see each other only while at the stag"
"group_original","condition order"
"pairing_cage3","partner number per study for the individual in cage 3 "
"pairing_cage4","partner number per study for the individual in cage 4 "
"stag_success"," stag box success"
"cage3_leave_hare","individual in cage 3 leaves hare"
"cage4_leave_hare","individual in cage 4 leaves hare"
"total_leave_hare","number of individuals that leave hare (0/ 1/ 2)"
"one_leave_hare","only one individual leaves their hare"
"both_leave_hare","both individuals leave the hare (does not equal stag success)"
"time_initiator_wait","time between first individual leaving hare and second individual leaves hare or end of trial"
"ape_initiator","name of individual that left hare first"
"ape_follower","name of individual that left hare second"
"checkback_hare_cage3","whether or not individual turns head to look at partner or stag while at hare"
"checkback_hare_cage4","whether or not individual turns head to look at partner or stag while at hare"
"communication_hare_cage3","whether or not individual communicates while at hare"
"communication_hare_cage4","whether or not individual communicates while at hare"
"communication_stag_cage3","whether or not individual communicates while at stag"
"communication_stag_cage4","whether or not individual communicates while at stag"
"communication_stag_initiator","whether or not first individual to leave hare communicates while at stag"
