study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,species_subgroup,session,condition,tested_before,food_reward,test_phase,solution,latency_solution,number_spits,latency_firstspit,mean_inter_spit_interval,comment
ebel2019innovative,2,2015, 01,6,fimi,6,6,f,bonobo,,1,baseline,no,banana,baseline,0,,1,588,0,4 spits after 10 minutes (tube quarter-filled) video until minute 16 (waiting for caregiver)
ebel2019innovative,2,2015, 01,7,fimi,6,6,f,bonobo,,2,baseline,no,banana,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,8,fimi,6,6,f,bonobo,,1,end-state_test,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,9,fimi,6,6,f,bonobo,,2,end-state_test,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,10,fimi,6,6,f,bonobo,,3,water_tap_by_ape,no,banana,addinfo,0,,2,427,165,
ebel2019innovative,2,2015, 01,15,fimi,6,6,f,bonobo,,4,water_tap_by_ape,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,16,fimi,6,6,f,bonobo,,5,water_tap_by_human,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,17,fimi,6,6,f,bonobo,,6,water_tap_by_human,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,9,gemena,9,9,f,bonobo,,1,baseline,no,banana,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,10,gemena,9,9,f,bonobo,,2,baseline,no,banana,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,15,gemena,9,9,f,bonobo,,1,water_tap_by_ape,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,16,gemena,9,9,f,bonobo,,2,water_tap_by_ape,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,17,gemena,9,9,f,bonobo,,3,end-state_test,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,18,gemena,9,9,f,bonobo,,4,end-state_test,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,23,gemena,9,9,f,bonobo,,5,water_tap_by_human,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,24,gemena,9,9,f,bonobo,,6,water_tap_by_human,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,6,kuno,18,18,m,bonobo,,1,baseline,no,apple,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,7,kuno,18,18,m,bonobo,,2,baseline,no,apple,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,8,kuno,18,18,m,bonobo,,1,water_tap_by_human,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,9,kuno,18,18,m,bonobo,,2,water_tap_by_human,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,10,kuno,18,18,m,bonobo,,3,water_tap_by_ape,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,16,kuno,18,18,m,bonobo,,4,water_tap_by_ape,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,17,kuno,18,18,m,bonobo,,5,end-state_test,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,18,kuno,18,18,m,bonobo,,6,end-state_test,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,6,lexi,15,15,f,bonobo,,1,baseline,no,banana,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,7,lexi,15,15,f,bonobo,,2,baseline,no,banana,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,8,lexi,15,15,f,bonobo,,1,end-state_test,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,9,lexi,15,15,f,bonobo,,2,end-state_test,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,10,lexi,15,15,f,bonobo,,3,water_tap_by_human,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,15,lexi,15,15,f,bonobo,,4,water_tap_by_human,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,16,lexi,15,15,f,bonobo,,5,water_tap_by_ape,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,17,lexi,15,15,f,bonobo,,6,water_tap_by_ape,no,banana,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,9,luiza,9,9,f,bonobo,,1,baseline,no,apple,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,10,luiza,9,9,f,bonobo,,2,baseline,no,apple,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,15,luiza,9,9,f,bonobo,,1,water_tap_by_human,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,16,luiza,9,9,f,bonobo,,2,water_tap_by_human,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,17,luiza,9,9,f,bonobo,,3,end-state_test,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,23,luiza,9,9,f,bonobo,,4,end-state_test,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,24,luiza,9,9,f,bonobo,,5,water_tap_by_ape,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,25,luiza,9,10,f,bonobo,,6,water_tap_by_ape,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,6,yasa,17,17,f,bonobo,,1,baseline,no,apple,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,7,yasa,17,17,f,bonobo,,2,baseline,no,apple,baseline,0,,0,0,0,
ebel2019innovative,2,2015, 01,8,yasa,17,17,f,bonobo,,1,water_tap_by_ape,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,9,yasa,17,17,f,bonobo,,2,water_tap_by_ape,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,10,yasa,17,17,f,bonobo,,3,water_tap_by_human,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,15,yasa,17,17,f,bonobo,,4,water_tap_by_human,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,16,yasa,17,17,f,bonobo,,5,end-state_test,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2015, 01,23,yasa,17,17,f,bonobo,,6,end-state_test,no,apple,addinfo,0,,0,0,0,
ebel2019innovative,2,2014, 11,5,alex,13,13,m,chimpanzee,b,1,baseline,yes,peanut,baseline,0,,0,0,0,
ebel2019innovative,2,2014, 11,13,alex,13,13,m,chimpanzee,b,2,baseline,yes,peanut,baseline,0,,0,0,0,
ebel2019innovative,2,2014, 11,18,alex,13,13,m,chimpanzee,b,1,water_tap_by_human,yes,peanut,addinfo,0,,0,0,0,
ebel2019innovative,2,2014, 11,28,alex,13,13,m,chimpanzee,b,2,water_tap_by_human,yes,peanut,addinfo,0,,0,0,0,
ebel2019innovative,2,2014, 12,4,alex,13,13,m,chimpanzee,b,3,end-state_test,yes,peanut,addinfo,0,,0,0,0,
ebel2019innovative,2,2014, 12,10,alex,13,13,m,chimpanzee,b,4,end-state_test,yes,peanut,addinfo,0,,0,0,0,
ebel2019innovative,2,2014, 12,11,alex,13,13,m,chimpanzee,b,5,water_tap_by_ape,yes,peanut,addinfo,0,,0,0,0,
