"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","name of data subset – experiment 2"
"year","year the data point was obtained"
"month","month the data point was obtained"
"day","day the data point was obtained"
"participant","name of the participant"
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee"
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session","set of trials - mostly occurring on the same day - usually numerical"
"condition","condition presented to the participant in a given session - baseline (transparent tube) / end-state_test (transparent tube after end-state demonstration) / water_tap_by_ape (transparent tube after water tap demonstration leading to success - activated by the ape) / water_tap_by_human (transparent tube after water tap demonstration leading to success- activated by a human)"
"tested_before","whether the participant was tested before in the same task -  yes / no / with_mom (not tested but present during a test)"
"food_reward","food reward provided to the participant; due to a peanut allergy bonobos were tested with dried fruits – banana / apple / peanut"
"test_phase","test phase presented to the participant - baseline (transparent tube) / addinfo (additional information demonstration plus test: i.e. end-state_test/ water_tap_by_ape/ water_tap_by_human)"
"solution","whether the participant solved the task - 1 = success / 0 = no success/ no entry = not available"
"latency_solution","time in seconds it took the participant to solve the task"
"number_spits","number of spits to solve the task"
"latency_firstspit","time in seconds it took the participant to first spit into the tube"
"mean_inter_spit_interval","mean duration between spits in seconds"
"comment","author notes"
