study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,species_subgroup,session,condition,tested_before,test_phase,solution,latency_solution,number_spits,latency_firstspit,mean_inter_spit_interval,comment
ebel2019innovative,3,2014, 12,13,alexandra,15,15,f,chimpanzee,b,1,transparent,yes,re-test,1,23.0,5,3,4,
ebel2019innovative,3,2014, 12,14,alexandra,15,15,f,chimpanzee,b,2,opaque,yes,transfer,0,,3,83,43,
ebel2019innovative,3,2014, 12,15,alexandra,15,15,f,chimpanzee,b,3,opaque,yes,transfer,1,289.0,4,33,84,
ebel2019innovative,3,2014, 12,16,alexandra,15,15,f,chimpanzee,b,4,front,yes,visual_cause,,,35,4,17,
ebel2019innovative,3,2014, 12,18,alexandra,15,15,f,chimpanzee,b,5,back,yes,visual_cause,,,7,14,86,
ebel2019innovative,3,2014, 09,22,frodo,20,20,m,chimpanzee,a,1,transparent,yes,re-test,0,,0,0,0,
ebel2019innovative,3,2014, 09,23,frodo,20,20,m,chimpanzee,a,2,transparent,yes,re-test,0,,5,56,66,
ebel2019innovative,3,2014, 11,27,kara,9,9,f,chimpanzee,a,3,transparent,with_mom,re-test,0,,0,0,0,
ebel2019innovative,3,2014, 11,28,kara,9,9,f,chimpanzee,a,4,transparent,with_mom,re-test,1,239.0,4,194,11,
ebel2019innovative,3,2014, 11,29,kara,9,9,f,chimpanzee,a,5,opaque,with_mom,transfer,1,219.0,3,120,23,
ebel2019innovative,3,2014, 12,1,kara,9,9,f,chimpanzee,a,6,back,with_mom,visual_cause,,,16,61,34,
ebel2019innovative,3,2014, 12,5,kara,9,9,f,chimpanzee,a,7,front,with_mom,visual_cause,,,15,130,30,1x takes water from hole to spit inside the tube
ebel2019innovative,3,2014, 11,27,kofi,9,9,m,chimpanzee,a,1,transparent,with_mom,re-test,1,221.0,6,11,30,
ebel2019innovative,3,2014, 11,28,kofi,9,9,m,chimpanzee,a,2,opaque,with_mom,transfer,1,146.0,4,54,28,
ebel2019innovative,3,2014, 11,29,kofi,9,9,m,chimpanzee,a,3,front,with_mom,visual_cause,,,24,17,48,
ebel2019innovative,3,2014, 12,1,kofi,9,9,m,chimpanzee,a,4,back,with_mom,visual_cause,,,10,33,80,
ebel2019innovative,3,2014, 11,27,lobo,10,10,m,chimpanzee,a,1,transparent,yes,re-test,1,102.0,6,17,13,
ebel2019innovative,3,2014, 11,28,lobo,10,10,m,chimpanzee,a,2,opaque,yes,transfer,1,262.0,4,49,69,
ebel2019innovative,3,2014, 11,29,lobo,10,10,m,chimpanzee,a,3,back,yes,visual_cause,,,18,26,29,
ebel2019innovative,3,2014, 12,5,lobo,10,10,m,chimpanzee,a,4,front,yes,visual_cause,,,4,28,80,
ebel2019innovative,3,2014, 09,22,lome,13,13,m,chimpanzee,a,1,transparent,yes,re-test,0,,0,0,0,
ebel2019innovative,3,2014, 09,23,lome,13,13,m,chimpanzee,a,2,transparent,yes,re-test,0,,0,0,0,
ebel2019innovative,3,2014, 11,27,sandra,21,21,f,chimpanzee,a,3,transparent,yes,re-test,1,147.0,8,43,14,
ebel2019innovative,3,2014, 11,28,sandra,21,21,f,chimpanzee,a,4,opaque,yes,transfer,0,,6,446,29,
ebel2019innovative,3,2014, 11,29,sandra,21,21,f,chimpanzee,a,5,opaque,yes,transfer,0,,0,0,0,
ebel2019innovative,3,2014, 09,23,tai,12,12,f,chimpanzee,a,1,transparent,yes,re-test,1,104.0,8,28,10,
ebel2019innovative,3,2014, 09,24,tai,12,12,f,chimpanzee,a,2,opaque,yes,transfer,1,153.0,8,73,10,
ebel2019innovative,3,2014, 09,28,tai,12,12,f,chimpanzee,a,3,front,yes,visual_cause,,,32,16,17,
ebel2019innovative,3,2014, 10,6,tai,12,12,f,chimpanzee,a,4,back,yes,visual_cause,,,8,27,38,
ebel2019innovative,3,2014, 07,6,dokana,25,25,f,orangutan,,1,opaque,yes,transfer1,0,,1,41,0,
ebel2019innovative,3,2014, 07,8,dokana,25,25,f,orangutan,,2,opaque,yes,transfer1,0,,0,0,0,
ebel2019innovative,3,2014, 07,10,dokana,25,25,f,orangutan,,3,transparent,yes,re-test,1,66.0,3,18,22,
ebel2019innovative,3,2014, 07,11,dokana,25,25,f,orangutan,,4,opaque,yes,transfer2,0,,0,0,0,
ebel2019innovative,3,2014, 07,12,dokana,25,25,f,orangutan,,5,opaque,yes,transfer2,0,,0,0,0,
ebel2019innovative,3,2014, 05,16,padana,16,16,f,orangutan,,1,opaque,yes,transfer1,0,,0,0,0,
ebel2019innovative,3,2014, 05,17,padana,16,16,f,orangutan,,2,opaque,yes,transfer1,0,,1,584,0,
ebel2019innovative,3,2014, 05,18,padana,16,16,f,orangutan,,3,transparent,yes,re-test,1,116.0,3,47,32,s3 - taken for analysis
ebel2019innovative,3,2014, 05,30,padana,16,16,f,orangutan,,4,transparent,yes,re-test,1,82.0,3,31,23,s4 - second reminder 24 hrs between clear and opaque condition
ebel2019innovative,3,2014, 05,31,padana,16,16,f,orangutan,,5,opaque,yes,transfer2,1,121.0,2,35,29,
ebel2019innovative,3,2014, 06,3,padana,16,16,f,orangutan,,6,front,yes,visual_cause,,,6,25,60,1x takes water from hole and 1x from the floor to spit inside the tube
ebel2019innovative,3,2014, 06,4,padana,16,16,f,orangutan,,7,back,yes,visual_cause,,,3,70,234,
ebel2019innovative,3,2014, 05,16,raja,10,10,f,orangutan,,1,opaque,yes,transfer1,0,,3,63,83,
ebel2019innovative,3,2014, 05,17,raja,10,10,f,orangutan,,2,opaque,yes,transfer1,0,,1,75,0,
ebel2019innovative,3,2014, 05,18,raja,10,10,f,orangutan,,3,transparent,yes,re-test,0,,7,54,84,after 5th spit tube is filled with water to the top but wood wool blocks access to peanut
ebel2019innovative,3,2014, 05,30,raja,10,10,f,orangutan,,4,transparent,yes,re-test,0,,3,21,57,
