study_id,participant,age_in_years,sex,species,zoo,condition,texture,shape,colour,contact_time_sec,contact_proportion,trial_time_sec,manipul_count,manipul_proportion
ebel2020object,bimbo,32,m,orangutan,leipzig,shape,hard,block,red,0.0,0.0,300.2,0,0.0
ebel2020object,bimbo,32,m,orangutan,leipzig,shape,hard,ball,red,32.6,0.1,300.2,4,1.0
ebel2020object,bimbo,32,m,orangutan,leipzig,shape,hard,block,green,102.8,0.3,300.2,9,0.82
ebel2020object,bimbo,32,m,orangutan,leipzig,shape,hard,ball,green,4.2,0.0,300.2,2,0.18
ebel2020object,bimbo,32,m,orangutan,leipzig,colour,hard,block,red,39.6,0.1,300.2,2,0.13
ebel2020object,bimbo,32,m,orangutan,leipzig,colour,hard,block,green,55.0,0.2,300.2,13,0.87
ebel2020object,bimbo,32,m,orangutan,leipzig,colour,hard,ball,red,288.0,1.0,300.2,17,0.46
ebel2020object,bimbo,32,m,orangutan,leipzig,colour,hard,ball,green,284.0,0.9,300.2,20,0.54
ebel2020object,djamuna,13,f,orangutan,dortmund,shape,hard,block,red,160.2,0.6,273.8,42,0.5
ebel2020object,djamuna,13,f,orangutan,dortmund,shape,hard,ball,red,104.2,0.4,273.8,42,0.5
ebel2020object,djamuna,13,f,orangutan,dortmund,shape,hard,block,green,37.0,0.1,262.4,16,0.25
ebel2020object,djamuna,13,f,orangutan,dortmund,shape,hard,ball,green,134.2,0.5,262.4,48,0.75
ebel2020object,djamuna,13,f,orangutan,dortmund,colour,hard,block,red,253.6,0.8,300.2,43,0.7
ebel2020object,djamuna,13,f,orangutan,dortmund,colour,hard,block,green,84.6,0.3,300.2,18,0.3
ebel2020object,djamuna,13,f,orangutan,dortmund,colour,hard,ball,red,101.8,0.8,135.0,21,0.62
ebel2020object,djamuna,13,f,orangutan,dortmund,colour,hard,ball,green,86.6,0.6,135.0,13,0.38
ebel2020object,djasinga,10,f,orangutan,berlin,shape,hard,block,red,6.0,0.0,260.2,6,0.07
ebel2020object,djasinga,10,f,orangutan,berlin,shape,hard,ball,red,255.8,1.0,260.2,85,0.93
ebel2020object,djasinga,10,f,orangutan,berlin,shape,hard,block,green,6.6,0.0,254.6,1,0.01
ebel2020object,djasinga,10,f,orangutan,berlin,shape,hard,ball,green,251.6,1.0,254.6,84,0.99
ebel2020object,djasinga,10,f,orangutan,berlin,colour,hard,block,red,195.0,0.7,268.2,61,0.55
ebel2020object,djasinga,10,f,orangutan,berlin,colour,hard,block,green,193.4,0.7,268.2,50,0.45
ebel2020object,djasinga,10,f,orangutan,berlin,colour,hard,ball,red,278.4,1.0,284.2,84,0.58
ebel2020object,djasinga,10,f,orangutan,berlin,colour,hard,ball,green,244.4,0.9,284.2,61,0.42
ebel2020object,dokana,23,f,orangutan,leipzig,shape,hard,block,red,81.6,0.6,146.0,32,0.52
ebel2020object,dokana,23,f,orangutan,leipzig,shape,hard,ball,red,61.2,0.4,146.0,29,0.48
ebel2020object,dokana,23,f,orangutan,leipzig,shape,hard,block,green,13.2,0.1,208.2,5,0.17
ebel2020object,dokana,23,f,orangutan,leipzig,shape,hard,ball,green,94.0,0.5,208.2,25,0.83
ebel2020object,dokana,23,f,orangutan,leipzig,colour,hard,block,red,47.2,0.3,147.2,19,0.68
ebel2020object,dokana,23,f,orangutan,leipzig,colour,hard,block,green,48.2,0.3,147.2,9,0.32
ebel2020object,dokana,23,f,orangutan,leipzig,colour,hard,ball,red,139.8,0.7,187.2,35,0.97
ebel2020object,dokana,23,f,orangutan,leipzig,colour,hard,ball,green,61.6,0.3,187.2,1,0.03
ebel2020object,enche,24,m,orangutan,berlin,shape,hard,block,red,212.0,0.9,245.6,3,0.06
ebel2020object,enche,24,m,orangutan,berlin,shape,hard,ball,red,85.8,0.3,245.6,48,0.94
ebel2020object,enche,24,m,orangutan,berlin,shape,hard,block,green,1.8,0.0,264.0,1,0.17
ebel2020object,enche,24,m,orangutan,berlin,shape,hard,ball,green,29.8,0.1,264.0,5,0.83
ebel2020object,enche,24,m,orangutan,berlin,colour,hard,block,red,183.4,0.6,282.6,8,0.5
ebel2020object,enche,24,m,orangutan,berlin,colour,hard,block,green,48.8,0.2,282.6,8,0.5
ebel2020object,enche,24,m,orangutan,berlin,colour,hard,ball,red,17.6,0.2,82.4,3,0.38
ebel2020object,enche,24,m,orangutan,berlin,colour,hard,ball,green,15.2,0.2,82.4,5,0.63
ebel2020object,mano,36,m,orangutan,berlin,shape,hard,block,red,27.0,0.1,296.2,5,0.26
ebel2020object,mano,36,m,orangutan,berlin,shape,hard,ball,red,52.4,0.2,296.2,14,0.74
ebel2020object,mano,36,m,orangutan,berlin,shape,hard,block,green,0.0,0.0,281.4,0,0.0
ebel2020object,mano,36,m,orangutan,berlin,shape,hard,ball,green,213.2,0.8,281.4,53,1.0
ebel2020object,mano,36,m,orangutan,berlin,colour,hard,block,red,125.6,0.5,266.0,9,0.38
ebel2020object,mano,36,m,orangutan,berlin,colour,hard,block,green,154.0,0.6,266.0,15,0.63
ebel2020object,mano,36,m,orangutan,berlin,colour,hard,ball,red,162.6,0.6,291.4,32,0.45
ebel2020object,mano,36,m,orangutan,berlin,colour,hard,ball,green,176.8,0.6,291.4,39,0.55
ebel2020object,padana,15,f,orangutan,leipzig,shape,hard,block,red,0.0,0.0,300.2,0,0.0
ebel2020object,padana,15,f,orangutan,leipzig,shape,hard,ball,red,205.4,0.7,300.2,41,1.0
ebel2020object,padana,15,f,orangutan,leipzig,shape,hard,block,green,11.4,0.3,35.2,4,0.18
ebel2020object,padana,15,f,orangutan,leipzig,shape,hard,ball,green,35.2,1.0,35.2,18,0.82
ebel2020object,padana,15,f,orangutan,leipzig,colour,hard,block,red,183.4,0.6,298.0,32,0.51
ebel2020object,padana,15,f,orangutan,leipzig,colour,hard,block,green,292.0,1.0,298.0,31,0.49
ebel2020object,padana,15,f,orangutan,leipzig,colour,hard,ball,red,98.6,1.0,103.4,30,0.61
ebel2020object,padana,15,f,orangutan,leipzig,colour,hard,ball,green,88.2,0.9,103.4,19,0.39
ebel2020object,pini,24,f,orangutan,leipzig,shape,hard,block,red,0.0,0.0,300.2,2,0.06
ebel2020object,pini,24,f,orangutan,leipzig,shape,hard,ball,red,260.0,0.9,300.2,30,0.94
ebel2020object,pini,24,f,orangutan,leipzig,shape,hard,block,green,0.0,0.0,300.2,0,0.0
ebel2020object,pini,24,f,orangutan,leipzig,shape,hard,ball,green,294.2,1.0,300.2,87,1.0
ebel2020object,pini,24,f,orangutan,leipzig,colour,hard,block,red,202.4,0.9,231.4,52,0.78
ebel2020object,pini,24,f,orangutan,leipzig,colour,hard,block,green,48.8,0.2,231.4,15,0.22
ebel2020object,pini,24,f,orangutan,leipzig,colour,hard,ball,red,296.8,1.0,300.2,39,0.74
ebel2020object,pini,24,f,orangutan,leipzig,colour,hard,ball,green,87.8,0.3,300.2,14,0.26
ebel2020object,raja,9,f,orangutan,leipzig,shape,hard,block,red,113.6,0.4,279.6,15,0.52
ebel2020object,raja,9,f,orangutan,leipzig,shape,hard,ball,red,81.2,0.3,279.6,14,0.48
ebel2020object,raja,9,f,orangutan,leipzig,shape,hard,block,green,98.2,0.6,163.8,24,0.5
ebel2020object,raja,9,f,orangutan,leipzig,shape,hard,ball,green,69.2,0.4,163.8,24,0.5
ebel2020object,raja,9,f,orangutan,leipzig,colour,hard,block,red,60.8,0.5,115.0,22,0.85
ebel2020object,raja,9,f,orangutan,leipzig,colour,hard,block,green,7.6,0.1,115.0,4,0.15
ebel2020object,raja,9,f,orangutan,leipzig,colour,hard,ball,red,87.0,0.5,180.6,34,0.54
ebel2020object,raja,9,f,orangutan,leipzig,colour,hard,ball,green,76.6,0.4,180.6,29,0.46
ebel2020object,suaq,3,m,orangutan,leipzig,shape,hard,block,red,0.0,0.0,254.4,0,0.0
ebel2020object,suaq,3,m,orangutan,leipzig,shape,hard,ball,red,77.0,0.3,254.4,35,1.0
ebel2020object,suaq,3,m,orangutan,leipzig,shape,hard,block,green,66.0,0.4,171.2,22,0.42
ebel2020object,suaq,3,m,orangutan,leipzig,shape,hard,ball,green,75.6,0.4,171.2,30,0.58
ebel2020object,suaq,3,m,orangutan,leipzig,colour,hard,block,red,96.0,0.3,288.0,36,0.51
ebel2020object,suaq,3,m,orangutan,leipzig,colour,hard,block,green,105.6,0.4,288.0,34,0.49
ebel2020object,suaq,3,m,orangutan,leipzig,colour,hard,ball,red,290.4,1.0,300.2,78,0.9
ebel2020object,suaq,3,m,orangutan,leipzig,colour,hard,ball,green,73.0,0.2,300.2,9,0.1
ebel2020object,suma,20,f,orangutan,dortmund,shape,hard,block,red,2.0,0.0,225.6,2,0.13
ebel2020object,suma,20,f,orangutan,dortmund,shape,hard,ball,red,167.6,0.7,225.6,13,0.87
ebel2020object,suma,20,f,orangutan,dortmund,shape,hard,block,green,11.8,0.1,233.6,4,0.12
ebel2020object,suma,20,f,orangutan,dortmund,shape,hard,ball,green,136.6,0.6,233.6,29,0.88
ebel2020object,suma,20,f,orangutan,dortmund,colour,hard,block,red,15.4,0.1,181.2,5,0.45
ebel2020object,suma,20,f,orangutan,dortmund,colour,hard,block,green,12.4,0.1,181.2,6,0.55
ebel2020object,suma,20,f,orangutan,dortmund,colour,hard,ball,red,63.0,0.3,218.4,10,0.56
ebel2020object,suma,20,f,orangutan,dortmund,colour,hard,ball,green,69.8,0.3,218.4,8,0.44
ebel2020object,tanah,3,f,orangutan,leipzig,shape,hard,block,red,0.0,0.0,285.4,0,0.0
ebel2020object,tanah,3,f,orangutan,leipzig,shape,hard,ball,red,215.6,0.8,285.4,53,1.0
ebel2020object,tanah,3,f,orangutan,leipzig,shape,hard,block,green,0.0,0.0,272.2,0,0.0
ebel2020object,tanah,3,f,orangutan,leipzig,shape,hard,ball,green,227.6,0.8,272.2,24,1.0
ebel2020object,tanah,3,f,orangutan,leipzig,colour,hard,block,red,180.0,0.7,267.0,68,0.59
ebel2020object,tanah,3,f,orangutan,leipzig,colour,hard,block,green,153.0,0.6,267.0,48,0.41
ebel2020object,tanah,3,f,orangutan,leipzig,colour,hard,ball,red,154.4,0.9,163.6,38,0.48
ebel2020object,tanah,3,f,orangutan,leipzig,colour,hard,ball,green,154.2,0.9,163.6,42,0.53
ebel2020object,tao,8,f,orangutan,dortmund,shape,hard,block,red,17.6,0.1,300.2,7,0.06
ebel2020object,tao,8,f,orangutan,dortmund,shape,hard,ball,red,286.0,1.0,300.2,111,0.94
ebel2020object,tao,8,f,orangutan,dortmund,shape,hard,block,green,26.8,0.1,274.0,5,0.05
ebel2020object,tao,8,f,orangutan,dortmund,shape,hard,ball,green,228.8,0.8,274.0,97,0.95
ebel2020object,tao,8,f,orangutan,dortmund,colour,hard,block,red,71.8,0.2,293.4,36,0.44
ebel2020object,tao,8,f,orangutan,dortmund,colour,hard,block,green,102.6,0.3,293.4,45,0.56
ebel2020object,tao,8,f,orangutan,dortmund,colour,hard,ball,red,285.4,1.0,300.2,76,0.6
ebel2020object,tao,8,f,orangutan,dortmund,colour,hard,ball,green,290.0,1.0,300.2,50,0.4
ebel2020object,bimbo,32,m,orangutan,leipzig,texture,hard,block,green,9.33,0.1,100.9,2,0.11
ebel2020object,bimbo,33,m,orangutan,leipzig,texture,soft,block,green,91.55,0.9,100.9,17,0.89
ebel2020object,bimbo,34,m,orangutan,leipzig,texture,hard,ball,green,0.0,0.0,0.0,0,0.0
ebel2020object,bimbo,35,m,orangutan,leipzig,texture,soft,ball,green,23.8,1.0,23.8,10,1.0
ebel2020object,bimbo,36,m,orangutan,leipzig,texture,hard,block,red,13.6,0.3,45.6,3,0.5
ebel2020object,bimbo,37,m,orangutan,leipzig,texture,soft,block,red,32.0,0.7,45.6,3,0.5
ebel2020object,bimbo,38,m,orangutan,leipzig,texture,hard,ball,red,4.4,1.0,4.4,1,1.0
ebel2020object,bimbo,39,m,orangutan,leipzig,texture,soft,ball,red,0.0,0.0,0.0,0,0.0
