study_id,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,drop_out,group_original,success,rake_attempt,rake_hesitation,rake_toolate,tool_takenby,mouth_beforeattempt,mouth_beforesuccess,eaten_first,grissini_pref
ebel2021prior,2016,11,21,alex,15,15.0,m,chimpanzee,1,1,experimental,false,grissini_pieces,0,1,0,0,hand,yes,,,8.0
ebel2021prior,2016,11,21,alex,15,15.0,m,chimpanzee,1,2,experimental,false,grissini_pieces,0,0,0,0,mouth,,,,8.0
ebel2021prior,2016,11,21,alex,15,15.0,m,chimpanzee,1,3,experimental,false,grissini_pieces,0,0,0,0,mouth,,,,8.0
ebel2021prior,2016,11,22,alex,15,15.0,m,chimpanzee,2,1,experimental,false,grissini_pieces,0,0,0,0,mouth,,,,8.0
ebel2021prior,2016,11,22,alex,15,15.0,m,chimpanzee,2,2,experimental,false,grissini_pieces,0,0,0,0,mouth,,,,8.0
ebel2021prior,2016,11,22,alex,15,15.0,m,chimpanzee,2,3,experimental,false,grissini_pieces,0,0,0,0,mouth,,,,8.0
ebel2021prior,2016,11,23,alex,15,15.0,m,chimpanzee,3,1,stick&grapes,false,grissini_pieces,1,0,0,0,mouth,yes,yes,,8.0
ebel2021prior,2016,11,23,alex,15,15.0,m,chimpanzee,3,2,grissini&block,false,grissini_pieces,1,0,0,0,mouth,,,,8.0
ebel2021prior,2016,11,23,alex,15,15.0,m,chimpanzee,3,3,stick&grapes,false,grissini_pieces,1,0,0,0,mouth,yes,yes,,8.0
ebel2021prior,2016,11,23,alex,15,15.0,m,chimpanzee,3,4,grissini&block,false,grissini_pieces,1,0,0,0,mouth,,,,8.0
ebel2021prior,2016,11,23,alex,15,15.0,m,chimpanzee,3,5,stick&grapes,false,grissini_pieces,1,0,0,0,mouth,yes,yes,,8.0
ebel2021prior,2016,11,23,alex,15,15.0,m,chimpanzee,3,6,grissini&block,false,grissini_pieces,1,0,0,0,hand,,,,8.0
ebel2021prior,2016,12,4,bambari,15,16.0,f,chimpanzee,1,1,experimental,false,grissini_sticks,0,0,0,0,mouth,,,,11.0
ebel2021prior,2016,12,4,bambari,15,16.0,f,chimpanzee,1,2,experimental,false,grissini_sticks,0,0,0,0,mouth,,,,11.0
ebel2021prior,2016,12,4,bambari,15,16.0,f,chimpanzee,1,3,experimental,false,grissini_sticks,0,0,0,0,mouth,,,,11.0
ebel2021prior,2016,12,5,bambari,15,16.0,f,chimpanzee,2,1,experimental,false,grissini_sticks,0,0,0,0,hand,,,,11.0
ebel2021prior,2016,12,5,bambari,15,16.0,f,chimpanzee,2,2,experimental,false,grissini_sticks,0,0,0,0,hand,,,,11.0
ebel2021prior,2016,12,5,bambari,15,16.0,f,chimpanzee,2,3,experimental,false,grissini_sticks,0,0,0,0,hand,,,,11.0
ebel2021prior,2016,12,6,bambari,15,16.0,f,chimpanzee,3,1,stick&grapes,false,grissini_sticks,1,0,0,0,hand,yes,yes,,11.0
ebel2021prior,2016,12,6,bambari,15,16.0,f,chimpanzee,3,2,grissini&block,false,grissini_sticks,1,0,0,0,mouth,,,,11.0
ebel2021prior,2016,12,6,bambari,15,16.0,f,chimpanzee,3,3,stick&grapes,false,grissini_sticks,1,0,0,0,hand,no,no,,11.0
ebel2021prior,2016,12,6,bambari,15,16.0,f,chimpanzee,3,4,stick&grapes,false,grissini_sticks,1,0,0,0,hand,no,no,,11.0
ebel2021prior,2016,12,6,bambari,15,16.0,f,chimpanzee,3,5,grissini&block,false,grissini_sticks,1,0,0,0,hand,,,,11.0
ebel2021prior,2016,12,6,bambari,15,16.0,f,chimpanzee,3,6,grissini&block,false,grissini_sticks,1,0,0,0,hand,,,,11.0
ebel2021prior,2016,12,16,bangolo,7,7.0,m,chimpanzee,1,1,experimental,false,none,0,0,0,0,mouth,,,,7.0
ebel2021prior,2016,12,16,bangolo,7,7.0,m,chimpanzee,1,2,experimental,false,none,0,0,0,0,hand,,,,7.0
ebel2021prior,2016,12,16,bangolo,7,7.0,m,chimpanzee,1,3,experimental,false,none,0,0,0,0,mouth,,,,7.0
ebel2021prior,2016,12,19,bangolo,7,7.0,m,chimpanzee,2,1,experimental,false,none,0,0,1,0,mouth,,,,7.0
ebel2021prior,2016,12,19,bangolo,7,7.0,m,chimpanzee,2,2,experimental,false,none,0,0,0,0,hand ,,,na ,7.0
ebel2021prior,2016,12,19,bangolo,7,7.0,m,chimpanzee,2,3,experimental,false,none,0,0,0,0,hand,,,,7.0
ebel2021prior,2016,12,20,bangolo,7,7.0,m,chimpanzee,3,1,stick&grapes,false,none,1,0,0,0,hand,yes,yes,,7.0
ebel2021prior,2016,12,20,bangolo,7,7.0,m,chimpanzee,3,2,grissini&block,false,none,1,0,1,0,mouth,,,,7.0
ebel2021prior,2016,12,20,bangolo,7,7.0,m,chimpanzee,3,3,stick&grapes,false,none,1,0,0,0,hand,yes,yes,,7.0
ebel2021prior,2016,12,20,bangolo,7,7.0,m,chimpanzee,3,4,grissini&block,false,none,1,1,0,0,mouth,yes,,,7.0
ebel2021prior,2016,12,20,bangolo,7,7.0,m,chimpanzee,3,5,grissini&block,false,none,1,0,0,0,hand,,,,7.0
ebel2021prior,2016,12,20,bangolo,7,7.0,m,chimpanzee,3,6,stick&grapes,false,none,1,0,0,0,hand,yes,yes,,7.0
ebel2021prior,2017,2,13,batak,7,7.0,m,orangutan,1,1,experimental,false,none,0,1,0,0,hand,yes,,,16.0
ebel2021prior,2017,2,13,batak,7,7.0,m,orangutan,1,2,experimental,false,none,1,0,0,0,hand,yes,yes,grapes,16.0
ebel2021prior,2017,2,13,batak,7,7.0,m,orangutan,1,3,experimental,false,none,0,1,0,0,hand,yes,,,16.0
ebel2021prior,2017,2,15,batak,7,7.0,m,orangutan,2,1,experimental,false,none,1,0,0,0,mouth,yes,yes,grapes,16.0
ebel2021prior,2017,2,15,batak,7,7.0,m,orangutan,2,2,experimental,false,none,1,0,0,0,mouth,yes,yes,grapes,16.0
ebel2021prior,2017,2,15,batak,7,7.0,m,orangutan,2,3,experimental,false,none,1,0,0,0,mouth,yes,yes,grapes,16.0
ebel2021prior,2017,2,16,batak,7,7.0,m,orangutan,3,1,stick&grapes,false,none,1,0,0,0,hand,yes,yes,,16.0
ebel2021prior,2017,2,16,batak,7,7.0,m,orangutan,3,2,grissini&block,false,none,1,1,0,0,hand,yes,,,16.0
