study_id,experiment,day,month,year,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,condition,order_of_conditions,preference_single_item,preference_pop_open,preference_pop_covered,initial_position_pellet_pop,position_pellet_sample,choice
eckert2017great,1,9,11,2014,kumili,10,10.0,f,gorilla,,1,1,test 1,original,96.67,75.0,25.0,r,l,carrot
eckert2017great,1,9,11,2014,kumili,10,10.0,f,gorilla,,1,2,test 1,original,96.67,75.0,25.0,r,r,pellet
eckert2017great,1,9,11,2014,kumili,10,10.0,f,gorilla,,1,3,test 1,original,96.67,75.0,25.0,l,l,carrot
eckert2017great,1,9,11,2014,kumili,10,10.0,f,gorilla,,1,4,test 1,original,96.67,75.0,25.0,l,r,pellet
eckert2017great,1,9,11,2014,kibara,10,10.0,f,gorilla,,1,1,test 1,original,100.0,100.0,75.0,r,l,carrot
eckert2017great,1,9,11,2014,kibara,10,10.0,f,gorilla,,1,2,test 1,original,100.0,100.0,75.0,r,r,pellet
eckert2017great,1,9,11,2014,kibara,10,10.0,f,gorilla,,1,3,test 1,original,100.0,100.0,75.0,l,l,pellet
eckert2017great,1,9,11,2014,kibara,10,10.0,f,gorilla,,1,4,test 1,original,100.0,100.0,75.0,l,r,carrot
eckert2017great,1,9,11,2014,abeeku,15,15.0,m,gorilla,,1,1,test 1,original,100.0,100.0,50.0,r,l,carrot
eckert2017great,1,9,11,2014,abeeku,15,15.0,m,gorilla,,1,2,test 1,original,100.0,100.0,50.0,r,r,pellet
eckert2017great,1,9,11,2014,abeeku,15,15.0,m,gorilla,,1,3,test 1,original,100.0,100.0,50.0,l,l,carrot
eckert2017great,1,9,11,2014,abeeku,15,15.0,m,gorilla,,1,4,test 1,original,100.0,100.0,50.0,l,r,pellet
eckert2017great,1,9,11,2014,viringika,19,19.0,f,gorilla,,1,1,test 1,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,9,11,2014,viringika,19,19.0,f,gorilla,,1,2,test 1,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,1,9,11,2014,viringika,19,19.0,f,gorilla,,1,3,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,9,11,2014,viringika,19,19.0,f,gorilla,,1,4,test 1,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,1,12,11,2014,kumili,10,10.0,f,gorilla,,2,5,test 1,original,96.67,75.0,25.0,r,r,pellet
eckert2017great,1,12,11,2014,kumili,10,10.0,f,gorilla,,2,6,test 1,original,96.67,75.0,25.0,r,l,carrot
eckert2017great,1,12,11,2014,kumili,10,10.0,f,gorilla,,2,7,test 1,original,96.67,75.0,25.0,l,r,pellet
eckert2017great,1,12,11,2014,kumili,10,10.0,f,gorilla,,2,8,test 1,original,96.67,75.0,25.0,l,l,pellet
eckert2017great,1,12,11,2014,abeeku,15,15.0,m,gorilla,,2,5,test 1,original,100.0,100.0,50.0,r,r,pellet
eckert2017great,1,12,11,2014,abeeku,15,15.0,m,gorilla,,2,6,test 1,original,100.0,100.0,50.0,r,l,carrot
eckert2017great,1,12,11,2014,abeeku,15,15.0,m,gorilla,,2,7,test 1,original,100.0,100.0,50.0,l,r,pellet
eckert2017great,1,12,11,2014,abeeku,15,15.0,m,gorilla,,2,8,test 1,original,100.0,100.0,50.0,l,l,carrot
eckert2017great,1,12,11,2014,kibara,10,10.0,f,gorilla,,2,5,test 1,original,100.0,100.0,75.0,r,r,pellet
eckert2017great,1,12,11,2014,kibara,10,10.0,f,gorilla,,2,6,test 1,original,100.0,100.0,75.0,r,l,pellet
eckert2017great,1,12,11,2014,kibara,10,10.0,f,gorilla,,2,7,test 1,original,100.0,100.0,75.0,l,r,pellet
