study_id,experiment,preference_type,day,month,year,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,condition,order_of_conditions,preference,correct choice,position_pellet_pop,choice_pellet_or_carrot
eckert2017great,0,preference_single_item,9,11,2014,kumili,10,10.0,f,gorilla,,1,1,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,9,11,2014,kumili,10,10.0,f,gorilla,,1,2,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,9,11,2014,kibara,10,10.0,f,gorilla,,1,1,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,9,11,2014,kibara,10,10.0,f,gorilla,,1,2,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,9,11,2014,abeeku,15,15.0,m,gorilla,,1,1,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,9,11,2014,abeeku,15,15.0,m,gorilla,,1,2,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,9,11,2014,viringika,19,19.0,f,gorilla,,1,1,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,9,11,2014,viringika,19,19.0,f,gorilla,,1,2,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,12,11,2014,kumili,10,10.0,f,gorilla,,2,3,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,12,11,2014,kumili,10,10.0,f,gorilla,,2,4,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,12,11,2014,abeeku,15,15.0,m,gorilla,,2,3,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,12,11,2014,abeeku,15,15.0,m,gorilla,,2,4,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,12,11,2014,kibara,10,10.0,f,gorilla,,2,3,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,12,11,2014,kibara,10,10.0,f,gorilla,,2,4,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,12,11,2014,viringika,19,19.0,f,gorilla,,2,3,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,12,11,2014,viringika,19,19.0,f,gorilla,,2,4,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,11,2014,kumili,10,10.0,f,gorilla,,3,5,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,11,2014,kumili,10,10.0,f,gorilla,,3,6,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,11,2014,kibara,10,10.0,f,gorilla,,3,5,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,11,2014,kibara,10,10.0,f,gorilla,,3,6,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,11,2014,abeeku,15,15.0,m,gorilla,,3,5,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,11,2014,abeeku,15,15.0,m,gorilla,,3,6,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,11,2014,viringika,19,19.0,f,gorilla,,3,5,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,11,2014,viringika,19,19.0,f,gorilla,,3,6,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,25,11,2014,sandra,21,21.0,f,chimpanzee,a,1,1,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,25,11,2014,sandra,21,21.0,f,chimpanzee,a,1,2,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,25,11,2014,tai,12,12.0,f,chimpanzee,a,1,1,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,25,11,2014,tai,12,12.0,f,chimpanzee,a,1,2,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,25,11,2014,lobo,10,10.0,m,chimpanzee,a,1,1,,original,carrot,0.0,,
eckert2017great,0,preference_single_item,25,11,2014,lobo,10,10.0,m,chimpanzee,a,1,2,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,26,11,2014,tai,12,12.0,f,chimpanzee,a,2,3,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,26,11,2014,tai,12,12.0,f,chimpanzee,a,2,4,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,26,11,2014,sandra,21,21.0,f,chimpanzee,a,2,3,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,26,11,2014,sandra,21,21.0,f,chimpanzee,a,2,4,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,26,11,2014,lobo,10,10.0,m,chimpanzee,a,2,3,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,26,11,2014,lobo,10,10.0,m,chimpanzee,a,2,4,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,27,11,2014,sandra,21,21.0,f,chimpanzee,a,3,5,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,27,11,2014,sandra,21,21.0,f,chimpanzee,a,3,6,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,27,11,2014,lobo,10,10.0,m,chimpanzee,a,3,5,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,27,11,2014,lobo,10,10.0,m,chimpanzee,a,3,6,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,28,11,2014,tai,12,12.0,f,chimpanzee,a,3,5,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,28,11,2014,tai,12,12.0,f,chimpanzee,a,3,6,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,13,1,2015,frodo,21,21.0,m,chimpanzee,a,1,1,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,13,1,2015,frodo,21,21.0,m,chimpanzee,a,1,2,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,1,2015,frodo,21,21.0,m,chimpanzee,a,2,3,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,14,1,2015,frodo,21,21.0,m,chimpanzee,a,2,4,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,18,1,2015,frodo,21,21.0,m,chimpanzee,a,3,5,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,18,1,2015,frodo,21,21.0,m,chimpanzee,a,3,6,,original,pellet,1.0,,
eckert2017great,0,preference_single_item,19,3,2015,jahaga,22,22.0,f,chimpanzee,b,1,1,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,19,3,2015,jahaga,22,22.0,f,chimpanzee,b,1,2,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,20,3,2015,jahaga,22,22.0,f,chimpanzee,b,2,3,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,20,3,2015,jahaga,22,22.0,f,chimpanzee,b,2,4,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,20,3,2015,jeudi,48,,f,chimpanzee,b,1,1,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,20,3,2015,jeudi,48,,f,chimpanzee,b,1,2,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,23,3,2015,jahaga,22,22.0,f,chimpanzee,b,3,5,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,23,3,2015,jahaga,22,22.0,f,chimpanzee,b,3,6,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,23,3,2015,alexandra,15,15.0,f,chimpanzee,b,1,1,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,23,3,2015,alexandra,15,15.0,f,chimpanzee,b,1,2,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,23,3,2015,daza,28,29.0,f,chimpanzee,b,1,1,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,23,3,2015,daza,28,29.0,f,chimpanzee,b,1,2,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,25,3,2015,alexandra,15,15.0,f,chimpanzee,b,2,3,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,25,3,2015,alexandra,15,15.0,f,chimpanzee,b,2,4,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,25,3,2015,daza,28,29.0,f,chimpanzee,b,2,3,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,25,3,2015,daza,28,29.0,f,chimpanzee,b,2,4,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,26,3,2015,daza,28,29.0,f,chimpanzee,b,3,5,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,26,3,2015,daza,28,29.0,f,chimpanzee,b,3,6,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,26,3,2015,alexandra,15,15.0,f,chimpanzee,b,3,5,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,26,3,2015,alexandra,15,15.0,f,chimpanzee,b,3,6,,reverse,carrot,0.0,,
eckert2017great,0,preference_single_item,26,3,2015,jeudi,48,,f,chimpanzee,b,2,3,,reverse,pellet,1.0,,
eckert2017great,0,preference_single_item,26,3,2015,jeudi,48,,f,chimpanzee,b,2,4,,reverse,pellet,1.0,,
