"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"preference_type","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"day","day of the month the data point was obtained "
"month","month the data point was obtained "
"year","year the data point was obtained  "
"participant","name of the participant "
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition", whether the following condition were = open/covered
"order_of_conditions","the order of conditions in which the participant was tested (Experiment 1 first-then Experiment 2= original/Experiment 2 first- then Experiment 1 = reverse)"
"preference","choice made by the ape (pellet/carrot)"
"position_pellet_pop","side on which pellet population was presented (right = r/ left = l)"
"choice_pellet_or_carrot","choice made by the ape (pellet population = 1/carrot population = 0)"
