"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","type of trial they were presented with - either a refreshment trial with doors open or close as in the training – or a test trial that where they could be observed or not by a third-party individual"
"behaviour","the expected behaviour in the task. In this case to steal the food"
"result","whether they act in accordance with the expected behaviour or not"
