study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,trial,condition,behaviour,result
engelmann2012five,2,helping,2010.0,8.0,31.0,dorien,29.0,f,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,8.0,31.0,dorien,29.0,f,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,8.0,31.0,dorien,29.0,f,chimpanzee,1,unobserved,help,no
engelmann2012five,2,helping,2010.0,8.0,31.0,dorien,29.0,f,chimpanzee,2,unobserved,help,no
engelmann2012five,2,helping,2010.0,8.0,31.0,dorien,29.0,f,chimpanzee,3,unobserved,help,yes
engelmann2012five,2,helping,2010.0,8.0,31.0,dorien,29.0,f,chimpanzee,4,unobserved,help,yes
engelmann2012five,2,helping,2010.0,8.0,31.0,robert,34.0,m,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,8.0,31.0,robert,34.0,m,chimpanzee,0,refreshment_door_closed,help,no
engelmann2012five,2,helping,2010.0,8.0,31.0,robert,34.0,m,chimpanzee,1,unobserved,help,no
engelmann2012five,2,helping,2010.0,8.0,31.0,robert,34.0,m,chimpanzee,2,unobserved,help,no
engelmann2012five,2,helping,2010.0,8.0,31.0,robert,34.0,m,chimpanzee,3,unobserved,help,no
engelmann2012five,2,helping,2010.0,8.0,31.0,robert,34.0,m,chimpanzee,4,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,dorien,29.0,f,chimpanzee,0,refreshment_door_open,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,dorien,29.0,f,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,9.0,2.0,dorien,29.0,f,chimpanzee,1,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,dorien,29.0,f,chimpanzee,2,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,dorien,29.0,f,chimpanzee,3,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,dorien,29.0,f,chimpanzee,4,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,robert,34.0,m,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,2.0,robert,34.0,m,chimpanzee,0,refreshment_door_closed,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,robert,34.0,m,chimpanzee,1,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,robert,34.0,m,chimpanzee,2,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,robert,34.0,m,chimpanzee,3,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,2.0,robert,34.0,m,chimpanzee,4,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,8.0,riet,32.0,f,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,riet,32.0,f,chimpanzee,0,refreshment_door_closed,help,no
engelmann2012five,2,helping,2010.0,9.0,8.0,riet,32.0,f,chimpanzee,1,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,8.0,riet,32.0,f,chimpanzee,2,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,8.0,riet,32.0,f,chimpanzee,3,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,8.0,riet,32.0,f,chimpanzee,4,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,8.0,lobo,6.0,m,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,lobo,6.0,m,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,lobo,6.0,m,chimpanzee,1,observed,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,lobo,6.0,m,chimpanzee,2,observed,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,lobo,6.0,m,chimpanzee,3,observed,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,lobo,6.0,m,chimpanzee,4,observed,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,corry,33.0,f,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,corry,33.0,f,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,corry,33.0,f,chimpanzee,1,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,8.0,corry,33.0,f,chimpanzee,2,observed,help,yes
engelmann2012five,2,helping,2010.0,9.0,8.0,corry,33.0,f,chimpanzee,3,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,8.0,corry,33.0,f,chimpanzee,4,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,9.0,lobo,6.0,m,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,lobo,6.0,m,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,lobo,6.0,m,chimpanzee,1,unobserved,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,lobo,6.0,m,chimpanzee,2,unobserved,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,lobo,6.0,m,chimpanzee,3,unobserved,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,lobo,6.0,m,chimpanzee,4,unobserved,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,corry,33.0,f,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,corry,33.0,f,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,corry,33.0,f,chimpanzee,1,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,9.0,corry,33.0,f,chimpanzee,2,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,9.0,corry,33.0,f,chimpanzee,3,unobserved,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,corry,33.0,f,chimpanzee,4,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,9.0,riet,32.0,f,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,9.0,riet,32.0,f,chimpanzee,0,refreshment_door_closed,help,no
engelmann2012five,2,helping,2010.0,9.0,9.0,riet,32.0,f,chimpanzee,1,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,9.0,riet,32.0,f,chimpanzee,2,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,9.0,riet,32.0,f,chimpanzee,3,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,9.0,riet,32.0,f,chimpanzee,4,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,1,observed,help,yes
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,2,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,3,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,4,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,1,unobserved,help,yes
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,2,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,3,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,swela,14.0,f,chimpanzee,4,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,0,refreshment_door_closed,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,1,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,2,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,3,unobserved,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,4,unobserved,help,yes
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,0,refreshment_door_closed,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,1,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,2,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,3,observed,help,no
engelmann2012five,2,helping,2010.0,9.0,26.0,patrick,13.0,m,chimpanzee,4,observed,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,lome,9.0,m,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,lome,9.0,m,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,lome,9.0,m,chimpanzee,1,unobserved,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,lome,9.0,m,chimpanzee,2,unobserved,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,lome,9.0,m,chimpanzee,3,unobserved,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,lome,9.0,m,chimpanzee,4,unobserved,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,fraukje,34.0,f,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,fraukje,34.0,f,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,fraukje,34.0,f,chimpanzee,1,unobserved,help,no
engelmann2012five,2,helping,2010.0,10.0,6.0,fraukje,34.0,f,chimpanzee,2,unobserved,help,no
engelmann2012five,2,helping,2010.0,10.0,6.0,fraukje,34.0,f,chimpanzee,3,unobserved,help,no
engelmann2012five,2,helping,2010.0,10.0,6.0,fraukje,34.0,f,chimpanzee,4,unobserved,help,no
engelmann2012five,2,helping,2010.0,10.0,6.0,ulla,33.0,f,chimpanzee,0,refreshment_door_open,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,ulla,33.0,f,chimpanzee,0,refreshment_door_closed,help,yes
engelmann2012five,2,helping,2010.0,10.0,6.0,ulla,33.0,f,chimpanzee,1,unobserved,help,no
engelmann2012five,2,helping,2010.0,10.0,6.0,ulla,33.0,f,chimpanzee,2,unobserved,help,no
