study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,species_subgroup,session,trial,condition_machine,condition_partner,distributor_exchange,result_optout,passive_refusal_to_initiate_trial,active_refusal_to_initiate_trial,passive_refusal_to_exchange_for_food,active_refusal_to_exchange_for_food,passive_refusal_to_consume_food,active_refusal_to_consume_food,counterbalance_high_value_platform,counterbalance_first_focal_participant_main_reset,counterbalance_partner_presence_first,foodtype,exclude
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,1,yes,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,2,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,3,yes,no,,,,,,,,,right,opt-out,no_partner,1,yes
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,4,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,5,yes,no,,,,,,,,,right,opt-out,no_partner,1,yes
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,6,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,7,yes,no,,,,,,,,,right,opt-out,no_partner,1,yes
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,8,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,9,yes,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,10,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,11,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,12,yes,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,13,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,14,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,15,yes,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,16,yes,no,,,,,,,,,right,opt-out,no_partner,1,yes
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,17,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,18,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,19,yes,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,20,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,21,yes,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,22,yes,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,23,yes,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,3,31,jahaga,23,f,focal_participant,,,,,chimpanzee,,b,1.0,24,yes,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,1,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,2,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,3,no,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,4,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,5,no,no,,,,,yes,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,6,no,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,7,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,8,no,no,,,,,yes,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,9,no,no,,,,,yes,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,10,no,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,11,no,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,2,lobo,11,m,focal_participant,,,,,chimpanzee,,a,1.0,12,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,4,lobo,11,m,focal_participant,,,,,chimpanzee,,a,2.0,1,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,4,lobo,11,m,focal_participant,,,,,chimpanzee,,a,2.0,2,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,4,lobo,11,m,focal_participant,,,,,chimpanzee,,a,2.0,3,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,4,lobo,11,m,focal_participant,,,,,chimpanzee,,a,2.0,4,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,4,lobo,11,m,focal_participant,,,,,chimpanzee,,a,2.0,5,no,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,4,lobo,11,m,focal_participant,,,,,chimpanzee,,a,2.0,6,no,no,yes,,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,4,lobo,11,m,focal_participant,,,,,chimpanzee,,a,2.0,7,no,no,,yes,,,,,,,right,opt-out,no_partner,1,no
engelmann2017social,2016,4,4,lobo,11,m,focal_participant,,,,,chimpanzee,,a,2.0,8,no,no,,yes,,,,,,,right,opt-out,no_partner,1,no
