"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant"
"participant_2","name of the participant_2"
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2"
"role_2","role of the participant_2 – partner"
"species","species of individuals participating in the study – chimpanzee"
"dyad","name of the two participants that compose the dyad "
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition_machine","whether a machine (yes) or a human (no) distributed the food"
"condition_partner","whether a partner chimpanzee was present (yes) in the adjacent room or not (no)"
"distributor_exchange","whether the focal participant exchanged the tool into either apparatus (yes)"
"result_optout","whether the focal participant inserted the tool in the opt-out apparatus (yes)"
"passive_refusal_to_initiate_trial","whether the  focal participant did not take the tool – yes in case the participant did not take the tool "
"active_refusal_to_initiate_trial","whether the focal participant actively refused to initiate the trial – yes in case -for example- of slamming the tool back in after it was offered initially"
"passive_refusal_to_exchange_for_food","whether the  focal participant took the tool but left it somewhere else instead of exchange it"
"active_refusal_to_exchange_for_food","whether the focal participant actively refused to exchange the tool (for instance propelling tool out of cage)"
"passive_refusal_to_consume_food","whether the  focal participant completed the exchange but did not eat the food"
"active_refusal_to_consume_food","whether the  focal participant actively rejected to eat the food (for instance propelling food out of cage)"
"counterbalance_high_value_platform","whether the high value platform was located on the right or the left side "
"counterbalance_first_focal_participant_main_reset","whether the main apparatus or the opt-out were reseted / rebaited first "
"counterbalance_partner_presence_first","whether the partner was present or not at the beginning of the test phase"
"foodtype"," the type of food presented to the focal participant - 1 / 2"
"exclude","whether the trial was excluded or not"
