study_id,participant,age_in_years,sex,species,island,zoo,number_of_zoos_lived_in,task_name,participation,performance,group_size,bold_rate,gentle_rate,proportion_relevant_exploration,latency_taste_nf,latency_taste_ff,rate_correct_tubes
forss2016cognitive,dokana,25,f,orangutan,sumatra,leipzig,4.0,detour_task,no,,10.0,,,,,,
forss2016cognitive,padana,16,f,orangutan,sumatra,leipzig,1.0,detour_task,no,,10.0,,,,,,
forss2016cognitive,pini,25,f,orangutan,sumatra,leipzig,1.0,detour_task,no,,10.0,,,,,,
forss2016cognitive,raja,13,f,orangutan,sumatra,leipzig,1.0,detour_task,no,,10.0,,,,,,
forss2016cognitive,suaq,5,m,orangutan,sumatra,leipzig,1.0,detour_task,no,,10.0,,,,,,
forss2016cognitive,tanah,5,f,orangutan,sumatra,leipzig,1.0,detour_task,no,,10.0,,,,,,
forss2016cognitive,dokana,25,f,orangutan,sumatra,,,honey_task,yes,,,,,0.297491039,,,
forss2016cognitive,kila,13,f,orangutan,sumatra,,,honey_task,yes,,,,,0.626008311,,,
forss2016cognitive,padana,16,f,orangutan,sumatra,,,honey_task,yes,,,,,0.426891415,,,
forss2016cognitive,pini,25,f,orangutan,sumatra,,,honey_task,yes,,,,,0.837905237,,,
forss2016cognitive,raja,13,f,orangutan,sumatra,,,honey_task,yes,,,,,0.194915254,,,
forss2016cognitive,suaq,5,m,orangutan,sumatra,,,honey_task,yes,,,,,0.162779851,,,
forss2016cognitive,tanah,5,f,orangutan,sumatra,,,honey_task,yes,,,,,0.696560197,,,
forss2016cognitive,tao,8,f,orangutan,sumatra,,,honey_task,yes,,,,,0.439069767,,,
forss2016cognitive,toba,18,f,orangutan,sumatra,,,honey_task,yes,,,,,0.341439689,,,
forss2016cognitive,walter,23,m,orangutan,sumatra,,,honey_task,yes,,,,,0.561174551,,,
forss2016cognitive,dokana,25,f,orangutan,sumatra,leipzig,4.0,honey_task_re-use,yes,no,10.0,,,,,,
forss2016cognitive,padana,16,f,orangutan,sumatra,leipzig,1.0,honey_task_re-use,yes,no,10.0,,,,,,
forss2016cognitive,pini,25,f,orangutan,sumatra,leipzig,1.0,honey_task_re-use,yes,yes,10.0,,,,,,
forss2016cognitive,raja,13,f,orangutan,sumatra,leipzig,1.0,honey_task_re-use,yes,yes,10.0,,,,,,
