study_id,experiment,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,species_subgroup,phase,session,trial,condition,barrier_position,choice_focal_participant_number,choice_focal_participant_barrier,success,barrier_position_dummy
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,1,coop,12,4,1,1,0
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,2,coop,12,4,1,1,0
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,3,coop,12,1,0,0,0
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,4,coop,12,4,1,1,0
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,5,coop,12,4,1,1,0
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,6,coop,12,4,1,1,0
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,7,coop,34,4,0,0,1
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,8,coop,34,4,0,0,1
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,9,coop,34,1,1,1,1
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,10,coop,34,4,0,0,1
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,11,coop,34,4,0,0,1
grueneisen2017children,1b,2015,10,16,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,1,12,coop,34,4,0,0,1
grueneisen2017children,1b,2015,10,17,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,2,1,coop,34,1,1,1,1
grueneisen2017children,1b,2015,10,17,lexi,16,f,focal_participant,fimi,7,f,stooge,bonobo,lexi_fimi,,2,2,2,coop,34,1,1,1,1
