study_id,participant,sex,species,session,trial,condition,start_time_in_seconds,end_time_in_seconds,point_duration_in_seconds,hand,eye_contact,point_direction,grape_position,correct,object_received,experimenter
halina2018goal,alex,m,chimpanzee,1,1,failed_look,0,0,0,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,1,3,2,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,4,4,0,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,6,6,0,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,15,17,2,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,18,18,0,left_handed_point,no_eye_contact_during_point,point_directed_to_center,left,point_not_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,26,27,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,30,32,2,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,33,33,0,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,56,56,0,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,57,58,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,60,63,3,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,68,69,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,71,72,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,77,77,0,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,87,88,1,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,90,91,1,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,91,92,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,failed_look,106,108,2,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,2,failed_look,2,2,0,left_handed_point,no_eye_contact_during_point,point_directed_to_center,right,point_not_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,2,failed_look,3,3,0,left_handed_point,eye_contact_during_point,point_directed_right,right,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,2,failed_look,11,12,1,left_handed_point,no_eye_contact_during_point,point_directed_to_center,right,point_not_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,2,failed_look,14,17,3,left_handed_point,no_eye_contact_during_point,point_directed_to_center,right,point_not_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,2,failed_look,17,18,1,left_handed_point,no_eye_contact_during_point,point_directed_right,right,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,2,failed_look,19,19,0,left_handed_point,eye_contact_during_point,point_directed_right,right,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,2,failed_look,20,23,3,left_handed_point,eye_contact_during_point,point_directed_left,right,point_not_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,2,failed_look,24,28,4,left_handed_point,eye_contact_during_point,point_directed_right,right,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,2,failed_look,102,102,0,left_handed_point,no_eye_contact_during_point,point_directed_right,right,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,3,3,0,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,7,8,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,9,10,1,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,15,16,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,20,23,3,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,24,25,1,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,26,28,2,left_handed_point,no_eye_contact_during_point,point_directed_to_center,left,point_not_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,30,31,1,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,32,34,2,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,50,50,0,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,51,54,3,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,59,60,1,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,85,85,0,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,86,89,3,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,1,failed_look,94,99,5,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,2,failed_look,2,3,1,right_handed_point,no_eye_contact_during_point,point_directed_right,right,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,2,failed_look,8,8,0,left_handed_point,eye_contact_during_point,point_directed_right,right,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,2,2,failed_look,11,12,1,left_handed_point,eye_contact_during_point,point_directed_right,right,point_directed_at_grape,no_reward,2
halina2018goal,alex,m,chimpanzee,1,1,motivational,0,1,1,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,grape_received,3
halina2018goal,alex,m,chimpanzee,1,1,motivational,11,13,2,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,grape_received,3
halina2018goal,alex,m,chimpanzee,1,1,motivational,13,13,0,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,3
halina2018goal,alex,m,chimpanzee,1,1,motivational,15,16,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,3
halina2018goal,alex,m,chimpanzee,1,1,motivational,26,27,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,3
halina2018goal,alex,m,chimpanzee,1,1,motivational,28,30,2,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,3
halina2018goal,alex,m,chimpanzee,1,1,motivational,31,33,2,left_handed_point,eye_contact_during_point,point_directed_left,left,point_directed_at_grape,grape_received,3
halina2018goal,alex,m,chimpanzee,1,1,motivational,47,48,1,left_handed_point,no_eye_contact_during_point,point_directed_left,left,point_directed_at_grape,no_reward,3
