study_id,experiment,experiment_name,year,month,day,participant,session,trial,cond,juice_side,first_opened,group_original,block,juice_position,juice_opened_at
hanus2011chimpanzee,1,opening_pretest,2007,11,20,asega,,1,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,asega,,2,water,r,water,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,asega,,3,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,asega,,4,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,asega,,5,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,asega,,6,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,asega,,7,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,asega,,8,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,baluku,,1,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,baluku,,2,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,baluku,,3,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,baluku,,4,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,baluku,,5,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,baluku,,6,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,baluku,,7,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,baluku,,8,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,indi,,1,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,indi,,2,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,indi,,3,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,indi,,4,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,indi,,5,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,indi,,6,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,indi,,7,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,indi,,8,water,l,water,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,namukiza,,1,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,namukiza,,2,water,r,water,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,namukiza,,3,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,namukiza,,4,water,l,water,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,namukiza,,5,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,namukiza,,6,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,namukiza,,7,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,namukiza,,8,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,nakuu,,1,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,nakuu,,2,water,r,water,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,nakuu,,3,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,nakuu,,4,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,nakuu,,5,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,nakuu,,6,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,nakuu,,7,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,nakuu,,8,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,kazahukire,,1,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,kazahukire,,2,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,kazahukire,,3,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,kazahukire,,4,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,kazahukire,,5,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,kazahukire,,6,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,kazahukire,,7,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,kazahukire,,8,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,yoyo,,1,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,yoyo,,2,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,yoyo,,3,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,yoyo,,4,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,yoyo,,5,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,yoyo,,6,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,yoyo,,7,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,yoyo,,8,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,umutama,,1,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,umutama,,2,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,umutama,,3,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,umutama,,4,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,umutama,,5,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,umutama,,6,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,umutama,,7,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,umutama,,8,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,umugenzi,,3,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,umugenzi,,4,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,umugenzi,,1,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,umugenzi,,2,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,umugenzi,,5,air,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,umugenzi,,6,water,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,umugenzi,,7,air,r,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,21,umugenzi,,8,water,l,juice,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,nkumwa,,3,air,r,air,,,,
hanus2011chimpanzee,1,opening_pretest,2007,11,20,nkumwa,,4,water,l,water,,,,
hanus2011chimpanzee,1,opening_test,2007,11,24,asega,1.0,1,weight,,,1.0,1.0,3.0,3.0
hanus2011chimpanzee,1,opening_test,2007,11,24,asega,1.0,2,weight,,,1.0,1.0,5.0,4.0
hanus2011chimpanzee,1,opening_test,2007,11,25,asega,2.0,3,weight,,,1.0,1.0,1.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,25,asega,2.0,4,weight,,,1.0,1.0,2.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,26,asega,3.0,5,weight,,,1.0,1.0,5.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,26,asega,3.0,6,weight,,,1.0,1.0,4.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,27,asega,4.0,7,weight,,,1.0,1.0,2.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,27,asega,4.0,8,weight,,,1.0,1.0,3.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,28,asega,5.0,9,weight,,,1.0,1.0,4.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,28,asega,5.0,10,weight,,,1.0,1.0,1.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,29,asega,6.0,11,weight,,,1.0,1.0,5.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,29,asega,6.0,12,weight,,,1.0,1.0,1.0,1.0
hanus2011chimpanzee,1,opening_test,2007,11,30,asega,7.0,13,weight,,,1.0,1.0,3.0,1.0
hanus2011chimpanzee,1,opening_test,2007,12,1,asega,8.0,14,weight,,,1.0,1.0,2.0,1.0
hanus2011chimpanzee,1,opening_test,2007,12,1,asega,8.0,15,weight,,,1.0,1.0,4.0,1.0
hanus2011chimpanzee,1,opening_test,2007,12,4,asega,1.0,1,color,,,1.0,2.0,1.0,5.0
hanus2011chimpanzee,1,opening_test,2007,12,4,asega,1.0,2,color,,,1.0,2.0,3.0,5.0
hanus2011chimpanzee,1,opening_test,2007,12,5,asega,2.0,3,color,,,1.0,2.0,5.0,5.0
