"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"cond","variable referring to the conditions in the pretest and the test. In the pretest the ape could choose between juice and air (nothing) or water. In the test they could face the weight or color conditions"
"juice_side","variable referring to whether the juice was presented on the left or the right side during the pretest"
"indicated","whether the juice or water was presented "
"group_original","order in which apes experienced the two test conditions. Apes in group 1 participated first in the weight trials followed by the color trials. Apes in group 2 received the trials in the opposite order"
"block","variable referring to the first 15 trials the apes participated in. For group 1= block 1 referred to the trials of the weight condition. For group 2- block 1 referred to the trials of the color condition"
"target_position","target item location"
"target_given_at","order in which the target bottle (the heavy one in the weight condition or the white one in the color condition) was handed over to the experimenter"
"order","order in which the apes returned items. A string of 51423 means that the first item returned was bottle five and last was bottle three"
"first_item_returned","number and order of returned item"
"second_item_returned","number and order of returned item"
"third_item_returned","number and order of returned item"
"fourth_item_returned","number and order of returned item"
"fifth_item_returned","number and order of returned item"
